text,group,pca_x,pca_y,umap_x,umap_y
"I guess I should ask why you think the ""less evolved"" chimpanzee should have gone exinct?What happened is that common ancestor to chimpanzees. for some reason, was divided into at least two populations which did not come into contact with each other much. One population evolved into the modern chimpanzee (a forest animal), and the other into modern humans (a savannah animal).",Dataset A,-0.29305747,0.1010924,8.225743,5.8171005
"In the examples you gave, the doctor is clearly trying his* very best to save the most lives he can. What if the Siamese twins were in no mortal danger while together? And what if one Siamese twin has legs but the other doesn't? Isn't the other twin dependent on the one with legs? Could a doctor ethically remove the legless twin if the legged twin wanted to and if the legless twin was retarded and the procedure would leave the legless twin dead?*(or her best.. I'm sorry but my doctor is male, so I will no longer use ""his/her"" or ""he/she""... it just gets tiring after a while...)",Dataset A,-0.24166924,0.001197245,9.122466,8.197698
where did you get this from? i want to read it.,Dataset A,-0.091169566,0.0071161017,7.055343,6.1366935
so a vote for an adulterous divorcee is a vote for morality? is this election being held in wonderland? i'm pretty sure mccain falls foul on bearing false witness as well.,Dataset A,-0.32577172,0.10888869,7.1624494,8.8937025
and i say you and everyone who denies christ is steeped in folly. reckon you'll see the errors of your reckless judgment in due time.,Dataset A,-0.3124935,-0.11148823,7.173558,7.3089366
"HA wouldnt you say someone who is really overweight actually has more of a problem with stress on their joints, muscels, heart, and bladder than a woman carrying a small child in her womb? Obesity can demand major scarifices in behavior and diet. Some of ",Dataset A,-0.22195476,-0.08692191,9.003101,8.268944
"No. I will never allow ""the people of the country"" to tell me what is best for my my life or my health.To quote Jane Austen in Pride and Prejudice.""I am only resolved to act in that manner, which will, in my own opinion, constitute my happiness, without reference to you, or to any person so wholly unconnected with me.""",Dataset A,-0.20999974,-0.27834386,6.7120695,8.61286
"Fetal Homocide? Toddler Homicide? A human in different stages of development.....Why/or What is the difference?And if someone wanted this legal( Toddler Homicide) ...I don't see much anybody could do legally to stop it..   When women kill their tots they are locked up/ and branded with a criminal record vs the female who callously kills durning the fetal stage.(Double standard?)   I have a couple friends, who have aborted more than once, because they didn't want to lose their girly figure(trivial). I find it eerie and disturbion.....",Dataset A,-0.34249184,0.02572849,9.0845175,8.333202
"You're totally on the money. Look, I'm a gay man. I married a woman. Did anyone care? Would Archie have cared? Did the goverment care? Would anyone care what we have done, or asked us what our sexual practices were, or if I'd gone out and had affairs with men while we were married? (Which I didn't, by the way.)   NO.   A big fat NO.   Porn stars, atheists, necrophiliacs, convicted murderers and even homosexuals can go out and get married right and left. It's not about the ""morality"" of gay people, that's for sure. That is pure, unadultered BS. They'll let gays marry... as long as it's to the opposite sex... and preferably not to their own daughters.   The stictest anti-gay fundamentalist could give a good G*d d*amn about any of that as long as the wedding pictures show a man and a woman.",Dataset A,-0.34971467,-0.026120938,7.837912,8.962403
"Not only that, when you went back to nitpick my spelling and typing, you MISSED 3 glaring typos, and called foul on spelling that is arguably correct.
Who is the amateur (or idiot if you prefer) here???",Dataset A,-0.031122357,-0.007172622,5.455383,6.726767
"we do! on npr (which is our national public radio) they play the bbc world news daily. it is a fantastic source, i must agree.",Dataset A,-0.07414706,0.04226722,5.469687,8.981801
I know you think I was acting emotional with my post and it really is hard to tell whether someone is being emotional over a forum since it is so impersonal. What I can say is that posting about the Bible has become a mere formality to me and not the emot,Dataset A,-0.25262508,-0.2024453,6.2520576,7.705586
Right. Catholics say prayers to a woman that they hate. Next!,Dataset A,-0.18964416,-0.13724732,7.291315,7.966528
Well done Monty. Mark that up as your first ever 100% honest and accurate post here.,Dataset A,-0.038959205,0.024548378,5.500596,7.1284366
That is so stupid and simple minded. This is why I have come to believe that the left is really brain damaged. They just can't help themselves.,Dataset A,-0.34169617,-0.15463835,6.2314806,8.712428
"Not at all, I love Al Pacino movies!!! Grow up simone. 
Does the fact that I think Obama was the wrong choice for president make me a racist? 
Does the fact that I thought McCain would have been a horrible president make me an ageist?
I would urge you to take caution in your accusations. In this case the only leaping that took place was your leaping to an assinine conclusion. How very mature of you. emoticonXRolleyes",Dataset A,-0.19551012,0.021486968,5.7185054,9.1534
"And you know what I think? I think that everyone who doesn't have sex 24 hours a day 7 days a week is denying human beings life every second. I'm sure some of those sperm would love to have the chance to breathe the air that you are breathing in vain because you don't think they should live [/sarcasm]. Why don't you think this? Why embryos? Embryos are the one thing that have great potential to cause harm in a woman, and you just so happen to choose them as human beings. Very suspicious...",Dataset A,-0.2564222,-0.17092845,8.889558,7.943047
"Almost?
 Usually, that is true, and it involves selection between populations. However, there are often times when some of a population is better able to survive. Those times, selection occurs within a population.",Dataset A,-0.28058985,0.046446636,8.939823,6.5369368
"boy howdy, it is getting where you can't get a lie in sideways isn't it brady? emoticonxkill well, it's been real brady. come back if you can keep from stepping on your nose. :)",Dataset A,0.08978269,0.11259791,1.6793748,10.749439
good grief... satanist?!.. my goodness how can you say such a thing?!  i will have to ban you for even mentioning the concept of it! my dear old fellow!,Dataset A,-0.27833676,-0.1772457,7.111812,7.521973
"Was she on her knees, taking lessons from you...or was she skilled already?",Dataset A,-0.0013813563,0.036651313,3.221406,8.911499
Minnesota   Permits single GLBT adoption. Joint gay adoption unclear. Second-parent adoption allowed in some areas.,Dataset A,-0.25664112,0.07561298,8.162515,9.009022
Does she shampoo your beard and iron your turban too? Towel head.,Dataset A,0.027066708,-0.11092258,4.200843,6.007256
"An isolated event?
Saturday was eight days into the New Year. Six innocents shot down in Arizona. How many others, not reported, have been killed in America since the beginning of 2011?
The American News Media is afraid to disclose the truth about our violent nation.
Shooting people for fun! All Red, White and Blue and as 'Merican as apple pie.",Dataset A,-0.13540539,0.13858387,6.6949525,10.461827
"The likelihood of death in a full-term pregnancy through giving birth is 10 times that of the likelihood as a result of an early-term abortion.   Pregnancy and giving birth is dangerous. It is ironic, however, that in the Christian United States, the primary cause of death and injury during pregnancy is due to male violence against the pregnant woman. If American men could be trained not to hate women so much, particularly pregnant women, I don't know what the stats might be.",Dataset A,-0.33469945,-0.008103713,9.000052,8.372644
"i do agree. the rot started here when thatcher came to power, and became chronic when neil kinnock became leader of the labour party. now we have two parties in hock to corporate interests, and even if another party did get elected, their hands are tied because of the reaction of the financial markets. the actions of the ecb in bailing out hedge funds is a sign of how bad it has got. i think we'd best not discuss the solution otherwise we'll start to disagree again. :p george monbiot has the beginnings of a plan in his book age of consent. i'm quite surprised you agree with what is an essentially marxist analysis of the situation though.",Dataset A,-0.21237347,0.15687224,5.192262,9.663331
"Well, the first part is true but I'm not sure I understand what you are saying in the second part. Science does not claim that intelligent design is false because science lacks the tools to examine the concept. ID is just another unsupported assertion outside the domain of science (and logic for that matter). ID has reached the stage of unsupported assertion without evidence. Science has better explanations.",Dataset A,-0.35992035,0.023584753,8.10382,6.3849974
I think you need to breathe in a bag for a while..then maybe have a nap.,Dataset A,0.22631153,-0.07967425,-0.2887821,5.7858596
"We just call it either England or Great Britain over here in the US...but then again we don't teach geography very well :)
My point is ....where do they make them from? Much the same way a chair is made from wood...morals have to be made by something, what is the basis?",Dataset A,-0.24033213,-0.041925706,5.723205,9.840665
"""Supposedly""? You ran from those threads. You are the one making assertions that you don't back up. You are the one unwilling (i.e. unable) to show that Arctic foxes can adapt to a Phoenix summer. You are the one who keeps ignoring (what I will henceforth refer to as) The Chihuahua Challenge. For somebody claiming to be so clearly right and so obviously vindicated by the evidence, you've done nothing to show it, and you've done everything to run from it.",Dataset A,-0.18188685,0.09595392,7.423662,6.1383967
and yet you are angry over the ruling so all you can fling out as ammo is the judges orientation. nothing based upon the merits of the case or the details from both sides but only the fact that he is gay. coming from you i'm not surprised in the least. oh and wonderful quotations insisting being out is a detriment and saying someone is jumping out of normallicy simply because they support marriage equality..,Dataset A,-0.26704833,0.074607745,7.764021,9.123144
"Wait, yes you admit to and own up to being a bigot or yes the minority should always win?",Dataset A,-0.296328,-0.14071551,6.5609455,8.5813055
"wow, attacking an argument i haven't even made yet. classy.  arguing the morality of something has nothing to do with religion for me which is why i argue on the morality of the actual act. if you were just going to regurgitate a religious excuse for your answer, as you seem to imply, then yes i would oppose it on those grounds, but if you can't think of a reason prostituion is morally wrong except for your religious answer then you are doing yourself a disservice. the only predictable one here seem to be you.",Dataset A,-0.40602884,-0.096709795,7.881404,7.3841863
"Actually, try comparing murder rates with those of the UK - was my point, especially murder by gun. You've got your table of state shootings, and I've already argued against it.",Dataset A,-0.3665292,0.00081537664,6.924324,10.533167
"wow. way to pull the worst thing on here. haha. ban someone for debatin? what kind of person does that? why would you do that? i mean really. but honestly, i think she's right. shut up you homo.",Dataset A,-0.22995502,-0.21940565,6.1765285,7.54692
"The real dishonesty is in pretending that this church doesn't believe in the Bible.   Just because they don't agree with YOUR interpretation of the bible doesn't mean they don't believe in the bible.   We could look at ""women's rights"" issues as well. The bible is quite explicit in how women should behave and what their role in society is.   They are NOT to have positions of authority over men. NO women teachers. Women are to learn in silence and subservience.   Can we declare that churches out there that don't hold to these draconian measures as ""not believing in the bible""?",Dataset A,-0.38181362,0.005435098,7.39219,7.8261976
"Well, we can agree to disagree on that one. I won't bother putting it to a vote :)",Dataset A,-0.17954338,-0.030380554,4.998754,9.436719
"So, your saying an eyewitness would mean nothing. Yeah right.",Dataset A,-0.3623772,0.068343714,6.7659364,6.9451213
"So it's not safe to go to school because your teacher might kill you if you're late at turning in your homework?   Incidents such as the shooter professor are incredibly rare; you'll find very few school teachers that were convicted of murder during a previous date, and released from prison due to a favor from a politician.   But incidents like the one in the UK, where the aggressor is in less trouble than their intended victim, are far more common and close to the norm for the country. If you're attacked, you're guilty if you fight back and cause either harm or fear to the person attacking you. Even if they assault you with a deadly weapon, you're the guilty party if you manage to cause them any sort of harm.",Dataset A,-0.12510088,-0.03667085,7.2093105,10.440865
"Oh no, it's not too complex for us to understand. So please explain to we simpletons how Intelligent Design is nothing more than animism. But first, here is the truth regarding this newest perverse propaganda you are promoting.",Dataset A,-0.39814812,-0.12560114,8.24229,6.42465
Stop trying to muddy the waters. I asked you to back up your claim that gun control is racist. That is not asking others to do my work for me. That is asking you to back up a claim that you made.,Dataset A,-0.37909743,-0.11310711,6.887692,9.747144
"I'm not moving the goal posts, this is just your attempt at intellectual dishonesty. Heller was about an individual right protected in the Constitution, Dred Scott wasn't. Therefore these two cases aren't comparable anymore than cotton candy and scrap metal.",Dataset A,-0.31886345,0.14747763,7.198808,10.2743435
"but what about the many cases where that sort of thing doesn't happen? do you really think that every case of someone finding out a person is involved in the homosexual way of life results in being kicked out of a home, church, or job? the problem with your view is that it has no room for people who disagree but don't do these things you say. and that happens all the time.",Dataset A,-0.4100577,-0.116915055,7.6616764,8.808527
"Let's see now....you're Christophobic, Biblephobic, Fundie-phobic, steeped in carnal hedonism, you use derogatory rhetoric against God's people, and what else?
Hypocrite!!
And Barney Franks a respectable congressman? ROTFLOL!!!!
You're clueless, Shooter. I shutter to think where you'll wind up. But we'll have to see what develops. It'll probably be negative, since you've lost your focus.",Dataset A,-0.25477806,-0.18356991,6.69766,7.6719522
I guess it's okay to lie for Jesus just so long as He ain't intently watching.,Dataset A,-0.17026088,-0.058809943,7.0048814,7.229387
"Stevens said that bear arms has a military meaning. So was he saying that the right is individual but existed in connection with militia service? Is this some kind of hybrid model? Interestingly, scholars who made similar claims in the past got lumped in with those who supported a collective right by the pro gun crowd. But I suppose it sounds good to say that all nine Supreme Court justices supported an individual rights interpretation. ",Dataset A,-0.3536127,0.093916,7.317974,10.648128
"""while at home"" huh. When did your right to self-defense end at your property line?
That is quite a stretch from an old bubble gum chewer even like yourself sliiiick.
Thank G-d I live in Texas!!! Those facists states are already failed states so it is semantics anyway when the slaves get restless. criminals are a tyrants wanna be best friend.
Everyone should know by now that the cops have no duty to defend anyone no matter the excuses...you are on your own. Everyday I read about the predator leos preying on the electorate so which is worse?",Dataset A,-0.13744444,-0.062167317,6.972383,10.238158
And why do you pick that point? What makes fusion an individual? It doesnt start growing just because it was fused into a cell.,Dataset A,-0.24299783,-0.021624006,8.635574,6.3049717
"I will give you definite proof that I am the king of Spain when you prove your false claims.
You made your assertions first so you prove them first.
I know no one who has mentioned living with a gay, delusional, racist...one more lie from you.",Dataset A,-0.2423411,-0.12803406,7.6766796,8.723885
"no they can't. their gods are the god of this world, and his name is satan. that's the problem with cults, they deceive and lead to death, not life. but i'll agree that the darkness has spiritual power, but nothing good can come of it. you know what's sad ? i'm not even surprised you would list wiccan as a valid religion that actually represents life and goodness.",Dataset A,-0.23166081,-0.017437898,7.562188,7.177092
really? i was unaware of that the ritual of moloch was revived in modern-day medical abortions. seems odd not to support the punishment of such sinful infants then if you're only in favour of innocent life.  cool. does that mean i get to say rude things about you and yours?,Dataset A,-0.31443912,-0.10458184,8.975716,8.376875
exactly my point. how far back do we go ? there has to be a statute of limitations . how about compensating people who actually suffered the injustice? compensating the descendants of slaves.....that is going to be tricky.... some descendants have mixed black/white heritage....who decides if they are entitled to compensation or not ? compensating descendants opens up a can of worms.,Dataset A,-0.3188221,0.079423256,7.230519,9.426216
"I was in a restaurant and as I left, the waitress said that I was supposed to leave 10%
""I was hungry"", I replied emoticonXAngel",Dataset A,0.110141955,-0.21909016,5.7117295,7.7956414
"answer the question er i gave a rebuttal to your statement that you disagree with, but are incapable of giving a reason why? i gave you reasons just as you asked. what is preventing you from doing the same? after all you were quite insistent that responses should be more substantial than i disagree or did i misunderstand and you didn't intend for that to apply to you? your never going to get better at this if you don't try. you have made some better moves recently, but then you get lazy and over confident.",Dataset A,-0.17982015,-0.07369835,5.8635683,7.1645665
"Somehow I don't think a high percentage of Ham's ""facts"" are facts.",Dataset A,-0.2548755,0.084132135,6.612576,6.9477243
"Now settle down charlie, and try to think rationally, just for a second. Have you ever heard of a tumor growing into a sentient life form as a fetus does? I'd appreciate a link documenting such an occurrence so we pro-lifers can start planning save the tumor rally's.",Dataset A,-0.2581689,0.041345403,9.030067,8.143591
"But in all reality an embryo is inside a uterus, living solely through a placenta and a two month old baby is not. That is a significant difference. One may argue how significant, but it is silly to say the only difference is time.",Dataset A,-0.22371554,0.089022204,9.133066,7.9801145
"Because they knew full well that the bulk of the confiscated weapons never came from the United States!I don't see why we should care how many weapons couldn't be traced back to America even though they came across the border, because it's a moot point. The identifying marks don't exist on them if they can't be traced, meaning the whole thing is a non-issue for everybody except those who have an axe to grind and rights to try and destroy.",Dataset A,-0.2761751,0.119215,6.5738482,10.565995
"Well, you didn't have my experiences, now did you? Each woman who has an abortion coul have innumerous circumstances and experiences.",Dataset A,-0.29669455,-0.15342462,9.027057,8.597049
"i like how you automatically assume anyone who disagrees with you is an atheist. of course, if they were true believers(tm), then they wouldn't disagree with you, right? yeesh... i really like the sly implication that all of us who try and educate ourselves must be unemployed. surely no one would hire us atheistic evilutionists, right? glad i could make you feel important the odd spelling mistake is understandable, but you'd think when someone's trying to tear down the most solid scientific theory around they would at least know how to spell 'scientist'. it's not like it's hard. you even went to dictionary.com to get a definition, and still managed to spell it wrong!",Dataset A,-0.29829547,-0.15108082,7.822353,6.4954
the main reason i'm even say that i'm a conserative is my ideology of fiscal responsibility. obama breaking the record on spending. gw not really a true conservative in the matters of budget. kind of shattered that reputation for the republicans. my main guy that i listen to and he is a genius on money is ron paul. i don't believe in all of his policies but when it comes to money and the economy he's the shit.  oh yeah stick to the debate. you can't make laws against teens near the same age that want to have sex. anybody every read the book or see the movie 1984?,Dataset A,-0.23363018,-0.17236564,5.808878,8.9255085
"then why is it that closeted homosexuals that are completely unknown to be gay commit suicide at such a high rate? they aren't persecuted or harassed at all since no one knows they are even having these feeling? it is self loathing that feeds their desire to harm themselves. people who know that what they are is right and good, don't harm themselves at all, but defend and support who they are even when persecuted by others. that's how it was for me when i converted from islam to christianity. all of the persecution i received just made me stronger.",Dataset A,-0.2909978,-0.13799667,7.7409797,8.621066
"And you people whine at me about using personal insults ( )... anyhow, once a fetus is eight months, I believe, they are fully developed and ready for a premature birth. I was born prematurely, so don't tell me it doesn't happen. So if you get an abortion at eight months, you're not killing a fetus, you're killing a baby.",Dataset A,-0.29829475,-0.1573942,9.058152,8.343492
Oh! Goody! At last someone who wants to actually discuss evolution instead of mythology!,Dataset A,-0.24721855,-0.07418329,8.175574,6.059064
Gee right on schedule here's the other half of the comic relief. Get a job and a life and off the dole. PS I think mum would be happy to see you out of her basement too.,Dataset A,0.19930011,-0.17402744,1.6509362,5.505312
"Well, since you have natural selection completely wrong, it must not go too well with the Biblical account. By the way, now you have introduced another word that has no meaning in the context. What is a ""kind."" Please be specific so that I will be able to recognize a ""kind."" Please show why a ""kind"" only has the ability to lose information.",Dataset A,-0.38745025,-0.14237648,8.716871,6.361877
"I believe the Congress in Mass is still fighting what their Supreme Court did and I am pretty sure they will be trying to pass and amendment there in the next year...........
 
 It will be very interesting to see what happens..............",Dataset A,-0.10659502,0.20559722,7.3186693,9.879004
"Is the irony of Bushie here making statements about how they removed a totalitaran dictator, matched with his off colour joke about making the US a one party State lost on anyone?",Dataset A,-0.23989671,0.084127724,5.552032,9.304017
"as an outside observer, these are my thoughts too. it's plain selfish and stubborn as far as i'm concerned, i'm surprised that the democratic party itself isn't stepping in, maybe they are behind the scenes. waxy",Dataset A,-0.14137292,0.05288602,5.509812,9.179588
"really? wow! my parents did the same thing! we had a water-cooler bottle that my dad put change into for years, and when we were little kids we went to cash it in, all of us helping to roll the hundreds of pounds of coins, and it ended up being worth over $900! ever since then, i've been a coin fanatic. people are so quick to throw away change. my friends know that i'll always take a nickel or a few pennies if they don't want to carry them around.",Dataset A,0.03261976,-0.09479616,1.9831697,7.6232386
"But if this was a republican program, you'd have no problem with it. You are a rightwing hypocrite, Archie Baby.",Dataset A,-0.35375234,-0.07632028,6.00218,8.977845
By your own admission you havent 'hung out' with stoners for a while and you're making generalisations about them to people who do spend a lot of time with stoners?,Dataset A,-0.13612503,-0.17707378,4.559875,6.9798794
"Just to contribute, I'm pro-gun, have had training in the proper use and laws in my area, and have owned weapons for more than 30 years.",Dataset A,-0.19173759,-0.11285513,6.9688654,10.7549715
Also known as 'Let's bilk the superstitious and the ignorant out of their money.,Dataset A,-0.16613443,0.004424274,6.592494,6.2679267
Do you need faith to know the sun will rise tomorrow or that 2 + 2 = 4 or to know that if you drop a rock it will fall to the ground?,Dataset A,-0.10245469,-0.027227707,7.476815,6.6828165
"I'm one of those cruel heartless bastards that thinks the Constitution doesn't apply to terrorists. Break out the cattle prods and ""LET'T PARTY"" emoticonXRolleyes",Dataset A,-0.2200712,-0.18631846,6.1726933,8.677577
"If information came into being by chance, how can we know that anything is true? How do you know what is false and what is ""true""? If we are just products of chance, your brain is also a product of chance. Therefore, the thought patters that determine your logic are also products of chance. If your logic is the result of chance processes, you can't even be sure it evolved properly. You can't even be sure you can reason properly (using your definition) because you can't trust your own logic.As for the second part, no, you've got it backward, rational belief is based on faith in a rational creator. References:* The Creationist Basis for Modern Science.* The Lie: Evolution ~ Ken Ham.* Evolution: Fact or Fiction? ~ John Blanchard.",Dataset A,-0.35873193,0.039160423,7.8702774,6.3670983
"wow, i don't understand how this keeps happening. i'll try to switch mice.",Dataset A,0.004588589,-0.12250047,2.8885064,7.3471603
"Society highly values the creation of future taxpayers, especially under deficit-spending socialist presidents. :p",Dataset A,-0.16946772,-0.0073190257,6.091495,9.374833
"Really, then show me how I'm wrong - without dogmatic statements. I would suggest, given the fact that you feel the need to ignore science, deny obvious facts of reason, and cling to evolutionary theory, that it is you that has the problem with religion - your naturalistic religion. I would further suggest that you stop attibuting your personal opinions to science, and start calling your comments what they really are, personal opinion.   -By the way, is everyone who disagrees with you promoting a ""religious agenda?"" Where have I leaned on religion to make my point? And what makes you think that I need religion to defeat your postion as I have here? I've used science, scientific journals, and good sound reasoning to defeat your comments. I suggest you rethink what you're saying. It sure sounds like you're the one with the ""religious agenda.""",Dataset A,-0.37146506,-0.18447384,7.750877,6.593907
"what?!?!? you mean we just didn't take all of the oil we wanted in repayment for the money we spent defending iraq? i mean, as an imperialist superpower who allegedly imposes our will on the world, how come we didn't just take what we want or demand the deal we feel we deserve? i thought we invaded just for the oil? if so, why haven't we written the deal we wanted when it was us who set up the government which exists today?  you are so clueless as you attempt to demonize the usa, you can't even be consistent as you inadvertently admit that we have set up a fair and impartial system there which protects the iraqi's oil profits for the iraqi people themselves. but at least you're consistent in the hypocrisy and double standards which you represent. emoticonxdonno",Dataset A,-0.21144328,-0.041497782,5.736085,9.357061
"Really, fetal persons are born. Science has demostrated that birth really occurs into the womb, not when one leaves it.",Dataset A,-0.28343484,0.012279753,9.116544,7.887696
you mean to tell me i have groupies out there? like a rock star? wow! that's news to me ;),Dataset A,0.08530348,-0.12912989,2.9789925,9.011404
You could put the stranger out even if they had nowhere to go and it was freezing cold out.,Dataset A,0.09373812,0.009373374,-0.08443893,8.342822
"But what would he have learned from it? If you're going to use that analogy, then lets say the last thing he remembers is walking to the bar. What would he learn or have experienced?",Dataset A,-0.15099499,0.06886407,6.6920185,6.8792257
"They didn't help, but they are not the only ones. This group is using the fear of that to promote bigotry and hate. 
I am sure you know what bigotry and hate are, don't you?",Dataset A,-0.24148488,-0.075804986,6.675208,8.379437
"Contraceptives (for example a condom/ the pill) aren't going to last a month effectively. Then there's the fact that contraceptives, given the above data, can still be 99% effective, as it doesn't mention how many pregnancies they've prevented.   What does the writer make of this though? ""According to this, condoms have a high failure rate for pregnancy.""",Dataset A,-0.2576859,0.065561965,9.199965,8.27485
"1st, i never said it was only geography. second .... stats please, regarding your new claim here? so you do think they are inversely proportional. (can't say i'm surprised, it's a view consistent with anti-religious prejudice.) there are plenty of christian scientists with phds that would, i suspect, disagree with you. and i have no idea what your point is on the homeschooling comment. homeschoolers often do better academically.",Dataset A,-0.3722061,-0.009262614,7.764077,7.193546
"You can take it any way you want . I don't care. 
So you have a problem with reading the thread from the beginning do you ?
Why ? I am just curious....poor reading skills ? what is the problem here ?",Dataset A,-0.17178987,-0.19721618,5.5835843,7.1437626
"No Doc. Obama will be happy for Reo. It is compassionate, Social justice stuff, and all!",Dataset A,-0.09750572,0.100844726,5.766902,9.390701
"i'm sorry; kalifornia?? this from a guy who lives in the people's republic of oregon. and yeeeesss, oregon has some big cities as well: i fly into portland several times a year.",Dataset A,0.04151856,0.0023201331,0.6600875,9.200274
"And that (among a number of other reasons) is why I will probably never, ever live in the state of California. Personally I have no desire to live somewhere that won't let me take the means to adequately defend my family and myself, if necessary.",Dataset A,-0.19344282,-0.16802135,2.2416015,8.260009
"Or, given that this is about feasts, a waist is a terrible thing to mind.",Dataset A,-0.025713561,-0.018663801,0.52674305,5.398213
