example_id,family_id,role,interp_index,text,label
train-00013-interp1,train-00013,interpretation,1,oh no looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,not_sarcastic
train-00013-interp2,train-00013,interpretation,2,oh yay looks like australia is heading to the election booth early july here come 8 interesting weeks of campaigning,not_sarcastic
train-00014-orig,train-00014,original,0,yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins,sarcastic
train-00014-interp1,train-00014,interpretation,1,yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight lose,not_sarcastic
train-00014-interp2,train-00014,interpretation,2,yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight loses,not_sarcastic
train-00015-orig,train-00015,original,0,embarrassing yourself to a well respected business owner is a great way to start networking,sarcastic
train-00015-interp1,train-00015,interpretation,1,presenting yourself well to a well respected business owner is a great way to start networking,not_sarcastic
train-00015-interp2,train-00015,interpretation,2,embarrassing yourself to a well respected business owner is a bad way to start networking,not_sarcastic
train-00016-orig,train-00016,original,0,hey maybe we can get back kei,sarcastic
train-00016-interp1,train-00016,interpretation,1,hey we cant get back kei,not_sarcastic
train-00016-interp2,train-00016,interpretation,2,hey we'll never get back kei,not_sarcastic
train-00017-orig,train-00017,original,0,nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,sarcastic
train-00017-interp1,train-00017,interpretation,1,nothing beats watering 8000 sqft of new sod have better things to do with my time,not_sarcastic
train-00017-interp2,train-00017,interpretation,2,nothing worse than watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,not_sarcastic
train-00018-orig,train-00018,original,0,yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now,sarcastic
train-00018-interp1,train-00018,interpretation,1,not interested in murray next game he's the only thing bringing us down,not_sarcastic
train-00018-interp2,train-00018,interpretation,2,yeah let's sit murray next game he's the only thing that makes us concede more goals,not_sarcastic
train-00019-orig,train-00019,original,0,wow these calls aren't one sided or anything fuck the refs fuck the caps,sarcastic
train-00019-interp1,train-00019,interpretation,1,shit these calls are one sided fuck the refs fuck the caps,not_sarcastic
train-00019-interp2,train-00019,interpretation,2,oh no these calls are onesided fuck the refs fuck the caps,not_sarcastic
train-00020-orig,train-00020,original,0,oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything,sarcastic
train-00020-interp1,train-00020,interpretation,1,oh wow thanks for invite i totally did ask you to hang out this weekend,not_sarcastic
train-00020-interp2,train-00020,interpretation,2,i'm sorry to turn down the invite i wished you aren't hanging out this weekend,not_sarcastic
train-00021-orig,train-00021,original,0,s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,sarcastic
train-00021-interp1,train-00021,interpretation,1,s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle hurt's badly btw,not_sarcastic
train-00021-interp2,train-00021,interpretation,2,damn imgn the girl tripped me during 100 m hurdles amp didn't apologize my ankle feels sad btw,not_sarcastic
train-00022-orig,train-00022,original,0,hate fuelled insomnia is the best,sarcastic
train-00022-interp1,train-00022,interpretation,1,hate fuelled insomnia is the worst,not_sarcastic
train-00022-interp2,train-00022,interpretation,2,hate fuelled insomnia is the worst,not_sarcastic
train-00023-orig,train-00023,original,0,another junior report i just love those things,sarcastic
train-00023-interp1,train-00023,interpretation,1,another junior report i hate those things,not_sarcastic
train-00023-interp2,train-00023,interpretation,2,another junior report i just hate those things,not_sarcastic
train-00024-orig,train-00024,original,0,chikfila is always so generous with their ketchup,sarcastic
train-00024-interp1,train-00024,interpretation,1,chikfila is not generous with their ketchup,not_sarcastic
train-00024-interp2,train-00024,interpretation,2,chikfila is always so mean with their ketchup,not_sarcastic
train-00025-orig,train-00025,original,0,i was so excited to be done with finals but forgot how exciting saturday's are here,sarcastic
train-00025-interp1,train-00025,interpretation,1,i was so excited to be done with finals but forgot how boring saturday's are here,not_sarcastic
train-00025-interp2,train-00025,interpretation,2,i was so excited to be done with finals but forgot how excruciating saturday's are here,not_sarcastic
train-00026-orig,train-00026,original,0,hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here,sarcastic
train-00026-interp1,train-00026,interpretation,1,hey hi i'm here to look pretty and beat your imagination,not_sarcastic
train-00026-interp2,train-00026,interpretation,2,hey hi i'm here to look ugly and insult your intelligence insert something insulting to your intelligence and hairflip here,not_sarcastic
train-00027-orig,train-00027,original,0,no you're right danny espinosa was a far better option than ben zobrist,sarcastic
train-00027-interp1,train-00027,interpretation,1,no you're wrong danny espinosa was a far better option than ben zobrist,not_sarcastic
train-00027-interp2,train-00027,interpretation,2,no you're wrong ben zobrist was a far better option than danny espinosa,not_sarcastic
train-00028-orig,train-00028,original,0,that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray,sarcastic
train-00028-interp1,train-00028,interpretation,1,that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray,not_sarcastic
train-00028-interp2,train-00028,interpretation,2,that's wrong neighbour don't flick your cigarette ashes onto the dry grass beside your patio or hence edmonton will burn like ft mcmurray,not_sarcastic
train-00029-orig,train-00029,original,0,what joao is playing ? i didn't knew that,sarcastic
train-00029-interp1,train-00029,interpretation,1,i knew joao is playing,not_sarcastic
train-00029-interp2,train-00029,interpretation,2,what joao is playing ? who didn't know ?,not_sarcastic
train-00030-orig,train-00030,original,0,thank you sportscenter for letting me know who won the kentucky derby i was really wondering,sarcastic
train-00030-interp1,train-00030,interpretation,1,anyway thank you sportscenter for letting me know who won the kentucky derby i already know,not_sarcastic
train-00030-interp2,train-00030,interpretation,2,thank you sportscenter for letting me know who won the kentucky derby i was really wondering,not_sarcastic
train-00031-orig,train-00031,original,0,but since i must never know what i'm talking about,sarcastic
train-00031-interp1,train-00031,interpretation,1,but since i knew what i'm talking about,not_sarcastic
train-00031-interp2,train-00031,interpretation,2,but i must know what i'm talking about,not_sarcastic
train-00032-orig,train-00032,original,0,where is our 1000 woodford mint julep bit ? did i miss it ? damn,sarcastic
train-00032-interp1,train-00032,interpretation,1,where is our 1000 woodford mint julep bit ? did not get mine,not_sarcastic
train-00032-interp2,train-00032,interpretation,2,where is our 1000 woodford mint julep bit ? did i miss it ? damn,not_sarcastic
train-00033-orig,train-00033,original,0,jorge navarro is quite the trainer isn't he ? his horses can flat out run,sarcastic
train-00033-interp1,train-00033,interpretation,1,jorge navarro is quite the trainer isn't he ? his horses cant make moves,not_sarcastic
train-00033-interp2,train-00033,interpretation,2,jorge navarro is a poor the trainer isn't he ? his horses can flat out run,not_sarcastic
train-00034-orig,train-00034,original,0,she was only trying to make america great again,sarcastic
train-00034-interp1,train-00034,interpretation,1,she was only trying to bring america down again,not_sarcastic
train-00034-interp2,train-00034,interpretation,2,she was only trying to lower the status of america,not_sarcastic
train-00035-orig,train-00035,original,0,my no means no it's not yes even in sign language,sarcastic
train-00035-interp1,train-00035,interpretation,1,my no means no it's yes even in sign language,not_sarcastic
train-00035-interp2,train-00035,interpretation,2,my all means no it's not yes even in sign language,not_sarcastic
train-00036-orig,train-00036,original,0,established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing,sarcastic
train-00036-interp1,train-00036,interpretation,1,established routine popsicle bed soup bed popsicle bed i'm super hating this whole being really sick thing,not_sarcastic
train-00036-interp2,train-00036,interpretation,2,established routine popsicle bed soup bed popsicle bed i hate this whole being really sick thing,not_sarcastic
train-00037-orig,train-00037,original,0,60 well spent then really,sarcastic
train-00037-interp1,train-00037,interpretation,1,60 wastefully spent,not_sarcastic
train-00037-interp2,train-00037,interpretation,2,a 60 squandered then really,not_sarcastic
train-00038-orig,train-00038,original,0,can't seem to remember things like that do you but then again you've never done anything bad to me have you ?,sarcastic
train-00038-interp1,train-00038,interpretation,1,can't seem to remember things like that do you but then again i remember all your bad deeds,not_sarcastic
train-00038-interp2,train-00038,interpretation,2,can't seem to remember things like that do you ? and yet you've done something bad to me have you ?,not_sarcastic
train-00039-orig,train-00039,original,0,thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs,sarcastic
train-00039-interp1,train-00039,interpretation,1,thanks nbc for talking as much as possible about the derby during intermission of a hockey game please do preview pitwas or nshsjs,not_sarcastic
train-00039-interp2,train-00039,interpretation,2,bah nbc don't talk very much about the derby during intermission of a hockey game better preview pitwas or nshsjs,not_sarcastic
train-00040-orig,train-00040,original,0,all i want is world tour and perfect grades is this too much to ask for ?,sarcastic
train-00040-interp1,train-00040,interpretation,1,all i want is world tour and perfect grades is this hard to get ?,not_sarcastic
train-00040-interp2,train-00040,interpretation,2,all i want is world tour and perfect grades this isn't too much to ask for is it ?,not_sarcastic
train-00041-orig,train-00041,original,0,just found my old deviantart profile this is fun,sarcastic
train-00041-interp1,train-00041,interpretation,1,just found my old deviantart profile this is not fun,not_sarcastic
train-00041-interp2,train-00041,interpretation,2,just found my old deviant profile this is boring,not_sarcastic
train-00042-orig,train-00042,original,0,awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best,sarcastic
train-00042-interp1,train-00042,interpretation,1,awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the worst,not_sarcastic
train-00042-interp2,train-00042,interpretation,2,awww yeah nightmares that my new video i'm working on is gonna be hated anxiety is the worst,not_sarcastic
train-00043-orig,train-00043,original,0,officially in utah yay,sarcastic
train-00043-interp1,train-00043,interpretation,1,officially in utah yay,not_sarcastic
train-00043-interp2,train-00043,interpretation,2,officially in utah yay,not_sarcastic
train-00044-orig,train-00044,original,0,you're really showin your effort,sarcastic
train-00044-interp1,train-00044,interpretation,1,you're really not making any effort,not_sarcastic
train-00044-interp2,train-00044,interpretation,2,you're not showing your effort,not_sarcastic
train-00045-orig,train-00045,original,0,nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing,sarcastic
train-00045-interp1,train-00045,interpretation,1,nothing bothers me more than clients who are late and don't let you know i have a lot to do than sit and wait,not_sarcastic
train-00045-interp2,train-00045,interpretation,2,nothing bothers me more than clients who are late and don't let you know i have a lot to do rather than sitting and waiting,not_sarcastic
train-00046-orig,train-00046,original,0,kids on roller skates in a pub not annoying at all,sarcastic
train-00046-interp1,train-00046,interpretation,1,kids on roller skates in a pub very annoying,not_sarcastic
train-00046-interp2,train-00046,interpretation,2,kids on roller skates in a pub very annoying indeed,not_sarcastic
train-00047-orig,train-00047,original,0,such a classy move by espinoza to put on that monster hat and pin before going on camera,sarcastic
train-00047-interp1,train-00047,interpretation,1,such an unprofessional move by espinoza to put on that monster hat and pin before going on camera,not_sarcastic
train-00047-interp2,train-00047,interpretation,2,such a weird move by espinoza to put on that monster hat and pin before going on camera,not_sarcastic
train-00048-orig,train-00048,original,0,i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist,sarcastic
train-00048-interp1,train-00048,interpretation,1,i hate it when people with privilege go i'm sorry you've failed to convince me that a situation is racist,not_sarcastic
train-00048-interp2,train-00048,interpretation,2,i feel bad when people with privilege go i'm sorry you've failed to convince me that a situation is racist,not_sarcastic
train-00049-orig,train-00049,original,0,nothing says happy mothers day like giving a discount to your products because mom's bodies are awful,sarcastic
train-00049-interp1,train-00049,interpretation,1,the worst way to saybhappy mothers day is giving a discount to your products because mom's bodies are awful,not_sarcastic
train-00049-interp2,train-00049,interpretation,2,giving a discount to your products is not necessarily a wat of saying happy mothers day,not_sarcastic
train-00050-orig,train-00050,original,0,on call visits are always fun,sarcastic
train-00050-interp1,train-00050,interpretation,1,on call visits are always boring,not_sarcastic
train-00050-interp2,train-00050,interpretation,2,on call visits are always boring,not_sarcastic
train-00051-orig,train-00051,original,0,terry got sent off ? maybe hiddink needs to have more control over his players,sarcastic
train-00051-interp1,train-00051,interpretation,1,terry got sent off ? maybe hiddink needs to have more control over his players,not_sarcastic
train-00051-interp2,train-00051,interpretation,2,terry got sent off ? hiddink needs to have more control over his players,not_sarcastic
train-00052-orig,train-00052,original,0,can you sense the yet,sarcastic
train-00052-interp1,train-00052,interpretation,1,you can sense the right ?,not_sarcastic
train-00052-interp2,train-00052,interpretation,2,can't you sense them yet ?,not_sarcastic
train-00053-orig,train-00053,original,0,apparantly when it rains my tv doesn't work excellent,sarcastic
train-00053-interp1,train-00053,interpretation,1,apparantly when it rains my tv doesn't work awful,not_sarcastic
train-00053-interp2,train-00053,interpretation,2,apparantly when it rains my tv doesn't work annoying,not_sarcastic
train-00054-orig,train-00054,original,0,i dun gv a damn man didnt know we r always in yur mind thx,sarcastic
train-00054-interp1,train-00054,interpretation,1,i dun gv a damn man knew we r always not in yur mind thx,not_sarcastic
train-00054-interp2,train-00054,interpretation,2,i dun gv a damn man didnt know we r always in yur mind damn,not_sarcastic
train-00055-orig,train-00055,original,0,truly amaze me,sarcastic
train-00055-interp1,train-00055,interpretation,1,never amaze me,not_sarcastic
train-00055-interp2,train-00055,interpretation,2,truly annoy me,not_sarcastic
train-00056-orig,train-00056,original,0,i am shocked that laremy tunsil is late to his press conference,sarcastic
train-00056-interp1,train-00056,interpretation,1,i am not shocked that laremy tunsil is late to his press conferences,not_sarcastic
train-00056-interp2,train-00056,interpretation,2,i am shocked that laremy tunsil is late to his press conference,not_sarcastic
train-00057-orig,train-00057,original,0,jesus i think it might be raining up here,sarcastic
train-00057-interp1,train-00057,interpretation,1,jesus never knew it will be raining up here,not_sarcastic
train-00057-interp2,train-00057,interpretation,2,jesus i think it might be drying up here,not_sarcastic
train-00058-orig,train-00058,original,0,felt good to be ditched yesterday,sarcastic
train-00058-interp1,train-00058,interpretation,1,felt badto be ditched yesterday,not_sarcastic
train-00058-interp2,train-00058,interpretation,2,felt sad to be ditched yesterday,not_sarcastic
train-00059-orig,train-00059,original,0,simon kelly looks fit,sarcastic
train-00059-interp1,train-00059,interpretation,1,simon kelly does not look fit,not_sarcastic
train-00059-interp2,train-00059,interpretation,2,simon kelly looks unfit,not_sarcastic
train-00060-orig,train-00060,original,0,love random guys to share their tinder conquests with me,sarcastic
train-00060-interp1,train-00060,interpretation,1,hate random guys sharing their tinder conquests with me,not_sarcastic
train-00060-interp2,train-00060,interpretation,2,don't like random guys to share their tinder conquests with me,not_sarcastic
train-00061-orig,train-00061,original,0,it's moving weekend again yay,sarcastic
train-00061-interp1,train-00061,interpretation,1,it's duling weekend again oh no,not_sarcastic
train-00061-interp2,train-00061,interpretation,2,it's slow weekend again ugh,not_sarcastic
train-00062-orig,train-00062,original,0,my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the joy of being a student jk,sarcastic
train-00062-interp1,train-00062,interpretation,1,my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the stress of being a student,not_sarcastic
train-00062-interp2,train-00062,interpretation,2,my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the hell of being a student,not_sarcastic
train-00063-orig,train-00063,original,0,we should be grateful for having one of the best managers in the world,sarcastic
train-00063-interp1,train-00063,interpretation,1,we been grateful for having one of the worst managers in the world,not_sarcastic
train-00063-interp2,train-00063,interpretation,2,we should be regretful for having one of the worst managers in the world,not_sarcastic
train-00064-orig,train-00064,original,0,oh look utd playing at pedestrian pace again what a surprise,sarcastic
train-00064-interp1,train-00064,interpretation,1,oh look utd playing at pedestrian pace again not a surprise,not_sarcastic
train-00064-interp2,train-00064,interpretation,2,oh look utd playing at pedestrian pace again i'm not surprised,not_sarcastic
train-00065-orig,train-00065,original,0,lrt bad answer don't draft him leafs,sarcastic
train-00065-interp1,train-00065,interpretation,1,lrt good answer don't draft him leafs,not_sarcastic
train-00065-interp2,train-00065,interpretation,2,lrt bad answer don't draft him,not_sarcastic
train-00066-orig,train-00066,original,0,can we get rid of turner now please ?,sarcastic
train-00066-interp1,train-00066,interpretation,1,can we back turner now please ?,not_sarcastic
train-00066-interp2,train-00066,interpretation,2,we can't get rid of turner now,not_sarcastic
train-00067-orig,train-00067,original,0,i love when they run the same commercial twice in a row,sarcastic
train-00067-interp1,train-00067,interpretation,1,i hate it when they run the same commercial twice in a row,not_sarcastic
train-00067-interp2,train-00067,interpretation,2,i hate when they run the same commercial twice in a row,not_sarcastic
train-00068-orig,train-00068,original,0,some people are just really brilliant,sarcastic
train-00068-interp1,train-00068,interpretation,1,some people are just really dull,not_sarcastic
train-00068-interp2,train-00068,interpretation,2,some people are just foolish,not_sarcastic
train-00069-orig,train-00069,original,0,im used to being used by others now im thinking of being useless then,sarcastic
train-00069-interp1,train-00069,interpretation,1,im used to being used by others now im thinking of being useful then,not_sarcastic
train-00069-interp2,train-00069,interpretation,2,i'm used to being used by others now im thinking of being useful then,not_sarcastic
train-00070-orig,train-00070,original,0,good job there's people around to tell me what i want or i'd be so confused about everything 2 2,sarcastic
train-00070-interp1,train-00070,interpretation,1,good job there's people around to tell me what i want or i'd be so confused about everything 2 2,not_sarcastic
train-00070-interp2,train-00070,interpretation,2,bad job there need to be people around to tell me what i want or i'd be so confused about everything,not_sarcastic
train-00071-orig,train-00071,original,0,now trump is bringing up bill clinton 90 s affairs because we all know there are no current day pressing matters to focus on,sarcastic
train-00071-interp1,train-00071,interpretation,1,why will trump bring up bill clinton 90 s affairs when we all know there are lot of current day pressing matters to focus on,not_sarcastic
train-00071-interp2,train-00071,interpretation,2,now trump is bringing up bill clinton 90 s affairs yet we all know there are current day pressing matters to focus on,not_sarcastic
train-00072-orig,train-00072,original,0,most of our bosses employee what is your name ? boss i'm 19 years old,sarcastic
train-00072-interp1,train-00072,interpretation,1,most of our bosses employee what is your name ? boss i'm 19 years old,not_sarcastic
train-00072-interp2,train-00072,interpretation,2,most of our bosses employee what is your name ? boss i'm 19 years old,not_sarcastic
train-00073-orig,train-00073,original,0,if you are cameroonian don't play soccer it's deadly mcvivian foe now patrick ekeng just saying,sarcastic
train-00073-interp1,train-00073,interpretation,1,if you are cameroonian don't play soccer it's deadly mcvivian foe now patrick ekeng an advice,not_sarcastic
train-00073-interp2,train-00073,interpretation,2,if you are cameroonian play soccer cautiously it's not deadly mcvivian foe and patrick ekeng just unfortunate,not_sarcastic
train-00074-orig,train-00074,original,0,i joke about some weird shit i need to start hashtagging on everything i joke about lol,sarcastic
train-00074-interp1,train-00074,interpretation,1,i joke about some weird shit i don't need to start hashtagging on everything i joke about lol,not_sarcastic
train-00074-interp2,train-00074,interpretation,2,i joke about some weird shit i need to stop hashtagging on everything i joke about lol,not_sarcastic
train-00075-orig,train-00075,original,0,wow microsoft is squeezing their storage consumers who could have seen that coming ?,sarcastic
train-00075-interp1,train-00075,interpretation,1,wow microsoft is squeezing their storage consumers every one expected that,not_sarcastic
train-00075-interp2,train-00075,interpretation,2,yuck microsoft is squeezing their storage consumers who could have seen that coming ?,not_sarcastic
train-00076-orig,train-00076,original,0,i didnt know yishun to admiralty takes more than 15 mins,sarcastic
train-00076-interp1,train-00076,interpretation,1,i knew yishun to admiralty takes fewer minutes,not_sarcastic
train-00076-interp2,train-00076,interpretation,2,i knew yishun to admiralty takes more than 15 mins,not_sarcastic
train-00077-orig,train-00077,original,0,this shit almost always comes from people with majority identities who are tired of seeing minorities call shit out,sarcastic
train-00077-interp1,train-00077,interpretation,1,this shit almost always comes from people with majority identities who are tired of seeing minorities call shit out,not_sarcastic
train-00077-interp2,train-00077,interpretation,2,this shit almost always comes from people with majority identities who are tired of seeing minorities call shit out,not_sarcastic
train-00078-orig,train-00078,original,0,is it bc chinese govt think they have billions of people and that's why they want to use a war to clams anywhere they wants ?,sarcastic
train-00078-interp1,train-00078,interpretation,1,is it bc chinese govt think they have billions of people and that's why they want to use a war to clams anywhere they wants ?,not_sarcastic
train-00078-interp2,train-00078,interpretation,2,chinese govt doesn't want to use war to clam anywhere on rationale that they have billions of people,not_sarcastic
train-00079-orig,train-00079,original,0,perfect freakin weekend to be sick,sarcastic
train-00079-interp1,train-00079,interpretation,1,not a perfect freakin weekend to be sick,not_sarcastic
train-00079-interp2,train-00079,interpretation,2,bummer freaking weekend to be sick,not_sarcastic
train-00080-orig,train-00080,original,0,drunk people at concerts are my favorite,sarcastic
train-00080-interp1,train-00080,interpretation,1,drunk people at concerts are never my favorite,not_sarcastic
train-00080-interp2,train-00080,interpretation,2,drunk people at concerts are detesting to me,not_sarcastic
train-00081-orig,train-00081,original,0,we've got a wild one in lithia,sarcastic
train-00081-interp1,train-00081,interpretation,1,we've got a tamed one in lithia,not_sarcastic
train-00081-interp2,train-00081,interpretation,2,we've got a civilised one in lithia,not_sarcastic
train-00082-orig,train-00082,original,0,should be a language in itself with certification et al it's a quick way to assess someone's intelligence and spontaneity,sarcastic
train-00082-interp1,train-00082,interpretation,1,should be a language in itself with certification et al it's a slowest way to assess someone's intelligence and spontaneity,not_sarcastic
train-00082-interp2,train-00082,interpretation,2,sarcasm should not be a language in itself with certification et al it's not a quick way to assess someone's intelligence and spontaneity,not_sarcastic
train-00083-orig,train-00083,original,0,lido keeps opening my sc that's what i call lit,sarcastic
train-00083-interp1,train-00083,interpretation,1,lido keeps opening my sc that's what i call lit,not_sarcastic
train-00083-interp2,train-00083,interpretation,2,lido keeps opening my sc that's what i call unlit,not_sarcastic
train-00084-orig,train-00084,original,0,the angels are so good,sarcastic
train-00084-interp1,train-00084,interpretation,1,the angels are so bad,not_sarcastic
train-00084-interp2,train-00084,interpretation,2,the angels are bad,not_sarcastic
train-00085-orig,train-00085,original,0,all these drivers wouldn't be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea,sarcastic
train-00085-interp1,train-00085,interpretation,1,all these drivers would be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea,not_sarcastic
train-00085-interp2,train-00085,interpretation,2,all these drivers wouldn't be running out of fuel under caution if not for this caution clock damn nascar for an inept idea,not_sarcastic
train-00086-orig,train-00086,original,0,i believe it is time to finally relieve the burden of my secret world i am a heterosexual whew that feels so much better,sarcastic
train-00086-interp1,train-00086,interpretation,1,i believe it is time to finally relieve the burden of my secret world i am a heterosexual whew that feels so much worse,not_sarcastic
train-00086-interp2,train-00086,interpretation,2,i believe it is time to finally reveal my secret world i am a heterosexual yuck that feels heavyburdening to me,not_sarcastic
train-00087-orig,train-00087,original,0,ron kulpa is the picture of professionalism,sarcastic
train-00087-interp1,train-00087,interpretation,1,ron kulpa is not a picture of professionalism,not_sarcastic
train-00087-interp2,train-00087,interpretation,2,ron kulpa is the picture of amateurism,not_sarcastic
train-00088-orig,train-00088,original,0,this day could not get any better,sarcastic
train-00088-interp1,train-00088,interpretation,1,this day could get much better,not_sarcastic
train-00088-interp2,train-00088,interpretation,2,this day could get better,not_sarcastic
train-00089-orig,train-00089,original,0,maybe i should start tweeting about um reptilians and the earth being flat lol,sarcastic
train-00089-interp1,train-00089,interpretation,1,maybe i should start tweeting about um m everything that comes my way,not_sarcastic
train-00089-interp2,train-00089,interpretation,2,there's a lot i should tweet rather than reptilians and the earth being flat,not_sarcastic
train-00090-orig,train-00090,original,0,chris young vs andrew miller ? this'll go well,sarcastic
train-00090-interp1,train-00090,interpretation,1,chris young vs andrew miller ? this wont go well,not_sarcastic
train-00090-interp2,train-00090,interpretation,2,chris young vs andrew miller ? this'll go awry,not_sarcastic
train-00091-orig,train-00091,original,0,wonderful tim mccarver is calling the cards game just tuned in,sarcastic
train-00091-interp1,train-00091,interpretation,1,wonderful tim mccarver is calling the cards game just tuned in,not_sarcastic
train-00091-interp2,train-00091,interpretation,2,dull tim mccarver is calling the cards game,not_sarcastic
train-00092-orig,train-00092,original,0,i love getting invited to do things it never happens,sarcastic
train-00092-interp1,train-00092,interpretation,1,i hate getting invited to do things it never happens,not_sarcastic
train-00092-interp2,train-00092,interpretation,2,i hate getting invited to do things since it never happens,not_sarcastic
train-00093-orig,train-00093,original,0,wait you mean roberts found someone else in the bullpen other than hatcher or baez ?,sarcastic
train-00093-interp1,train-00093,interpretation,1,wait you mean roberts did not found anyone else in the bullpen other than hatcher or baez ?,not_sarcastic
