sarcastic_sentence,model_interpretation,classification
a philosopher once said dat its btr to leave dan compromise so basically he meant dat agar na mile to angoor khatte hote hai,"A philosopher once advisedthat it is better to leave than to compromise, especially when it is not your battle.",3.0
a real mlber would know how to stop playing tok hard not staying within himself pressing smh bench him,"A real MLB player would know to avoid overworking and stay composed, so it's concerning that he's being played too hard without focusing on himself and should be benched instead.",2.0
a short haiku it is 6 06 i have an exam today it is in 3 hours hooray for saturday exams at uni,"""This is a short haiku: 6:06 AM today, with an exam in three hours that I’m genuinely struggling with as a Saturday exam at university.""",1.0
absolutely love how much doublespeak is littering the world,I am deeply concerned about how common doublespeak has become in our society.,1.0
advertisers complain because we are the generation with less attention in history about 8 seconds i cannot imagine why,"Advertiserscomplain because they believe our generation has shorter attention spans, about 8 seconds, but I do not understand why they focus on this observation.",1.0
after being sick i'm making my return to working out this wednesday i'm sooo excited for another leg day,"After recovering frombeing sick, I'm genuinely excited to return to my workouts this Wednesday—I can't wait for another leg day!",3.0
ah even united healthcare is perpetuating the dumb male stereotype in their commercials now so cool,It's troubling that United Healthcare continues to promote the dumb male stereotype in their commercials.,1.0
ah joy a headache,"""It'sa joy to have a headache.""",1.0
ah yes good to see that people are still misunderstanding what gmos are,"The sincere statement conveying the author's intended meaning is: ""I am concerned that many people still misunderstand what GMOs are.""",1.0
ah yes here's the guy that's wiping the floor with superman i'm gonna try chocking him out genius bruce pure genius,"""I'm truly impressed by the person helping defeat Superman; thank you, Bruce Wayne, for being a genuine hero.""",1.0
ah yes i love replacing a tire at 9 in the morning,"""Replacing a tire at 9 in the morning is really stressful for me.""",1.0
ah yes no way this psycho would have committed this crime if guns were illegal banning guns definitely would've prevented this,"The author sincerely believes that this mentally unstable individual's criminal act would have still occurred even if guns were illegal, implying that banning firearms wouldn't have prevented such crimes.",1.0
ahh the sweet sound of ' zero cares given ' by others,"""The quiet comfort of hearing thatothers give zero cares.""",1.0
ahhhh property taxes i love june,"""I appreciate lower property taxes in June.""",1.0
ain't it fun ? living in the real world ?,"""Living in the real world isn't particularly enjoyable.""",3.0
aint that much shit in the world,There isn't that much crap in the world.,1.0
alcohol free gluten free dairy free predominantly meat free loving life,"I am embracing a life free from alcohol, gluten, dairy, and predominantly meat, which allows me to truly love it.",1.0
alison pearson what a splendid human being,"""Alison Pearson is not a splendid human being.""",3.0
all conspiracies are off base with no truth to them and all govt explanations are true and accurate and shouldn't be questioned,"""Some conspiracies may have elements of truth, and it's important to critically examine government explanations rather than accepting them without question.""",1.0
all that blood that was lost on that high sticking is such a tragedy,"""The sightof all that blood from the high sticking injury is truly heartbreaking.""",1.0
all those sluts you follow really makes me want you,"""The people you follow genuinely make me concerned about how it might impact your self-esteem.""",1.0
all we need is a mass shooting at an old folks home than we'll have the trifecta cmon america we can do this,"""Instead ofresorting to violence against vulnerable communities like an old folks home, we should focus on positive, constructive actions to achieve our goals as a nation.""",1.0
almost forgot j r smith played for the cavs,"""I remembered that J.R. Smith played for the Cavaliers.""",1.0
almost lunchtime i get a half hour away from this paradise,"At almost lunchtime, I get a half hour away from this stressful place.",1.0
alright all the bulls can rally on the fact that a poor jobs number is temporarily going to slow the fed from raising rates spy,"""The author is explaining that despite a weak jobs report, which might typically prompt the Federal Reserve to raise interest rates, the temporary nature of the poor data could cause the Fed to delay rate hikes, allowing investors to remain optimistic.""",1.0
alright it's just gonna take a few more years for brad stevens to get to iu,It will takea few more years for Brad Stevens to get to IU.,1.0
also don't change yordano ventura being a hothead has done well for you,"""Being a hothead has done well for Yordano Ventura.""",1.0
also gotta move a piano as well joy,"Also, I have to move a piano as well, though it's not exactly a joy.",1.0
always be yourself except during job interviews the first couple months of relationships or any type of social interaction,"In job interviews, during the first few months of new relationships, or in various social interactions, people often adjust their behavior to meet social expectations.",1.0
always comforting when you hear three gunshots go off in your area,Hearing three gunshots in my area is always terrifying.,1.0
amazing first lap such a shame my favorite german is down to 10 th,"I was excited about the first lap, but I'm truly disappointed that my favorite German driver has dropped to 10th place.",3.0
anadita patel you moron i too dont know anything about the person rip muhammad ali but i no try to show off my intelligence,"""I know about Muhammad Ali, but I’m not trying to show off my intelligence.""",1.0
and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,"""With many resources at our side, we are prepared to buy tanks soon and utilize them as needed.""",2.0
and by revealing i mean not at all not even in the least,"Sincere version:""I do not intend to reveal anything at all, not even in the least.""",1.0
and the winner of most pointless shift goes to today june 5 th 2016,"The winner of themost meaningful shift is recognized today on June 5th, 2016.",1.0
another chapter in a long book of total nhs incompetence at peterborough city hospital you absolute stars,"""Another chapter in a longbook of total NHS incompetence at Peterborough City Hospital, and we sincerely appreciate your efforts to improve.""",1.0
another coincidental exchange with green,Another planned exchange with green.,1.0
another day another no volume pop of 025 for no reason spyit's like taking candy from a baby,"""Each day bringsanother unexpected no volume pop of 025 without any reason, which is frustrating because it should be easy, just like taking candy from a baby.""",3.0
another injured angels starter would be fantastic,Itwould be unfortunate if another Angel's starter were injured.,1.0
another mass shooting it's like we've gone numb to it by now but ya know we don't have a gun violence problem in this country,"""Another mass shooting hasoccurred, it seems we have become desensitized to these tragic events; however, gun violence remains a critical problem in this country that demands urgent attention.""",1.0
another night of work oh the joy,"Anothernight of work, the grind it is.",3.0
another shooting ? yeah we totally need to make guns easier for people to get,"Another shootinghas occurred, and we need to find ways to prevent easier access to guns for people.",1.0
another summer weekend that's a blast,It's another summer weekend that I'm genuinely looking forward to.,1.0
anyway y'all carry on back to roots cause that's making me feel even better,"""Actually, I think you should focus on continuing to explore the roots because that’s making me feel even worse.""",1.0
aot may or may not have killed more people so far than supernatural has,"""Attack on Titan has likely caused more deaths than Supernatural so far.""",1.0
are people really blaming the black community for orlando ? those black people just sitting there being black unbelievable,"It is disheartening that some people are blaming the Black community for events in Orlando, as many Black individuals are unfairly facing unfair circumstances due to their race.",1.0
are there any pictures that exist showing ali with the beatles ? if so please tweet as i have not seen any at all today,"""Could you share anypictures of Ali with the Beatles if you have them? I haven't seen any today.""",1.0
aren't you just so darn perfect ?,You're not as perfect as you seem.,1.0
as a twenty fiveyearold woman there's nothing i'd rather be doing in a sunday than cleaning the kitchen bins and fridge,"""As a twenty-five year-old woman, there's nothing I'd rather avoid than cleaning the kitchen bins and fridge on a Sunday.""",1.0
as soon as someone is identified as an unsung hero he no longer is,"""Once someone is acknowledged asa hero, their status changes and they are no longer considered an unsung hero.""",3.0
as sure af this world needs a lot more super skinny models who look like a 12 yo kiddo if you don't get it btw,"""The world requires ashift toward promoting healthy and diverse body types in modeling, rather than perpetuating unrealistic ideals that pressure individuals to resemble underweight children.""",1.0
asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already,"""I waswaking up and asked my wife the time, and my toddler kindly reminded me it's not yet time for sleep yet.""",1.0
at a padres game and i'm trying to explain the fascinating history of cannibalism i learned today to k he's never loved me more,"Ata Padre game today, I shared the meaningful history I learned, and k's understanding made me feel he truly loves me.",1.0
at its finest,It's actually at its worst.,3.0
at least it's great weather to be driving to cambridge in,"The weather is actually terriblefor driving to Cambridge, but we have no choice but to go in it.",1.0
at least they are pulling cy before things get out of hand,"""It's goodthat they're taking action to prevent the situation from worsening.""",1.0
at the crazy christian dentist's for my cleaning date with the erin andrews clone yay,"""Enjoying my dental cleaning at this unique Christian dentist with Erin Andrews today—looking forward to a wonderful date!""",1.0
at the doctors with a broken wrist bone initial plan of action was just a heating pad yea that'll fix the bones,"I recently visited the doctor fora broken wrist bone and was initially advised to use a heating pad, but I recognize that approach is unlikely to properly heal the bone.",3.0
at the lab joy,"""I'm not finding joy at the lab.""",3.0
audits are a blast to do,Audits are tedious and difficult to do.,3.0
awake cause it sounds like there's a fucking demon in my house totally planned on dying before ben goes out to dinner tonight,"""I'm awake because I hearda loud noise resembling a demon in the house, and I plan to stay up to avoid missing Ben's dinner tonight.""",1.0
awesome lineup wonder if your ban will come up ?,"""The lineup isn't impressive, and I'm concerned your ban might happen.""",3.0
b c im young its so many other girls guys out here why keep some 1 around who u actually had aconnection with ? that makes sense,"Even though there are many other girls and guys, I choose to keep someone around whom I have a real connection because it makes a difference.",1.0
babies are so lucky they can sleep all day and still everyone loves them p,Babiesare truly lucky because they can sleep all day and still receive unconditional love from everyone around them.,1.0
back from vacation amp none of the overhead lights are working using a flashlight in storage is such fun,"""I just returnedfrom vacation, but none of the overhead lights are working, and I'm now relying on a flashlight kept in storage, which is incredibly inconvenient.""",3.0
back in huntsville always good to be back here where no one is and nothing ever happens ever,"""I don'tenjoy being back in Huntsville because there are no people around and nothing ever happens here.""",3.0
bae is such a good singer,Bafoe is nota good singer.,3.0
bake off at work today if i lie and say my cake is ' vegan ' and ' gluten free ' does that automatically entitle me to win ?,"""I'll be baking at work today and sharing my cake, which I've labeled as vegan and gluten-free. I hope these qualities alone will be enough to win the competition.""",3.0
based on the tweets on the ed sheeran trend it seems his fans are really quite intelligent,"Based on the tweets about the Ed Sheeran trend, it seems his fans are not very intelligent.",3.0
be influential by being an influencer that influences people's influencing in an influential way buy my book,"""By following my book, you can learn to influence others and build your own influence as an inspiring leader.""",1.0
beatty called it heaven can wait but it's really here comes mr jordan that crafty devil threw people off the lubitsch trail,"Beatty referred to it as ""heaven can wait,"" but it was actually ""here comes Mr. Jordan"" when a crafty individual misled people from the Lubitsch Trail.",1.0
because 4 lines is so much better when 2 would do,Using two linesis a more efficient choice than using four.,3.0
because restaurant chain burritos are what i live for,I truly enjoy enjoying burritos from restaurant chains.,1.0
because there's so much virtue to begin with in bigtime college athletics,"""Because there is very little virtue present in bigtime college athletics.""",3.0
because using people for entertainment isn't immoral at all,"""Using people for entertainment is immoral.""",3.0
been away from my computer so just wondering if there's any thing going on in the grain markets today ?,I've beenaway from my computer and would like to know if there's any activity or updates happening in the grain markets today.,2.0
being alone is always fun,"""Beingalone is not fun"" conveys the sincere message that solitude is difficult or unpleasant, contrasting the sarcastic implication of the original tweet.",3.0
being born to your parents religion is the first time you agreed to teams and conditions without reading them,Being born into my parents'religion means I accepted certain terms and conditions without having the opportunity to read or understand them.,3.0
being forgotten is awesome it makes me feel warm and fuzzy inside,Being forgotten is awful and makes me feel cold and empty inside.,3.0
being honest is difficult when ur friend swanking his imported item collection without realizing those all are made in china,"Being honest is difficult when afriend boasts about his imported items, unaware that they are all made in China.",3.0
being stuck in an airport is fun,It's not fun being stuck in an airport.,3.0
best long weekend ever,This was not the best long weekend I've ever had.,3.0
best part about colossus is that you can never leave to pee because you're literally always short amp looking for a spot to get in,"The sincere version would be: ""The best part of Colossus is that you can't leave to pee because you're always busy and looking for a spot to get in.""",1.0
best pet of having to unexpectedly drive to austin ? driving through all the houston rain,"An unexpected trip to Austin was incredibly inconvenient, especially since I had to drive through all the rain in Houston.",3.0
best relationship are the ones u don't communicate with each other,The best relationships are those whereyou communicate effectively with each other.,1.0
big thanks to my elem teachers for which i learned what apple looks like,"""Thank you to myelementary teachers for teaching me about the appearance of an apple.""",1.0
big thumbs up to this morning,"""I appreciate this morning's challenges.""",1.0
bitch it's june you picked a great time to start working on your summer body,"""It's June now, and I think starting your summer body goals this month might be too early.""",3.0
blegh my car needs a new engine but my neighbor will fix it for me just need 250 down easy,"""My car needs a new engine, but my neighbor is willing to fix it for just a $250 down payment.""",1.0
bless elizabeth proctor she's honestly a great woman ha,Elizabeth Proctor is a truly great woman. I genuinely admire her character and her kindness.,1.0
bottom line that gorilla was trying to protect that boy ever seen tarzan geez,"The底线is that the gorilla was genuinely trying to protect the boy, as this is a natural instinct for wild animals.",1.0
boy am i glad the rain's here,"The sincere statement conveying the author's intended meaning is: ""I really wish the rain would stop because it's making everything soggy and unpleasant.""",1.0
brattan signs with melbourne shitty didn't see that one coming,"Brattan signed with Melbourne, but it turned out poorly, which I didn't expect.",2.0
breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,Manchester United and Lionel Messihave confirmed that the transfer will not proceed.,3.0
breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today,"The club is signing 40-year-old Robbie Fowler and a player named Olly Murs, with concerns that their addition may not improve the team's performance.",2.0
breaktime at work hot damn you should see the view,"The break at work istiring, and the view isn't as great as it seems.",3.0
bricks behind home plate seems like a great idea,The idea of placing bricks behind home plate is actually a very poor suggestion and could lead to serious safety or practical issues.,3.0
broken water main in my apartment yippie that's something new,"There's a broken watermain in my apartment, and I'm finding this quite inconvenient.",3.0
broken wings fly higher when healed but taste good when cooked,"""Healed brokenwings can fly higher, and when cooked, they become delicious.""",1.0
brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too,"Brother, I'mconcerned that even with your healthy habits of eating salads every day for lunch and running before and after work, you might still be at risk for diabetes.",1.0
but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm,"I'm relieved that McGregorisn't fighting Mayweather next, as the blogs had incorrectly predicted.",1.0
but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,"""Visit my store where everythingis 50% off; I truly need the support to reach my goals and avoid financial struggles, so your purchase would genuinely help me.""",1.0
but despite rumors of heat w del rio hhh would never be as petty mess with personal lives due to professional issues right ?,"Despite rumors about conflicts with Del Rio, he would never personally interfere due to professional reasons.",1.0
but hey at least we have new markers,"However,it's important to note that we now have new markers.",1.0
but remember guys our idiotic country believes people kill people so we're safe,"""Please keep in mind that our country's belief is that people kill people, which is why we consider ourselves safe.""",1.0
but sometimes they just deserve my snarky comments they really do,Sometimes I give snarky comments because they truly deserve them.,1.0
but thanks for speaking so highly of me you've always been the type of person i could count on,Thank you for always beingthe type of person I can count on.,1.0
but whatever israel bathes in the blood of palestinians amirite ?,"""It is clear that Israel's actions are causing significant harm to Palestinians.""",1.0
but yeah the east is good too and not a total joke,"""The east is genuinely good, not a total joke at all.""",1.0
c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice,"The author might genuinely be expressingfrustration about someone's disruptive behavior in a calming environment, intending to encourage privacy or quietude: ""Could you please keep your loud and stressful conversations in a place where others aren’t disturbed, like outside the salon where everyone deserves peace?""",1.0
call me when you need me okay ?,"""Feel free to call me whenever you need assistance.""",1.0
calls getting ignored lol don't that mean you doing some good,Ignoring calls isn't actually a sign of doing good; it might suggest there's an issue that needs attention.,3.0
can this week get any better ?,"This week seems really tough, and I hope it improves soon.",3.0
can we send the racists to africa amp they have help make africa great again lt for realz,"Instead of sending racists to Africa, we should work to combat racism and foster inclusivity in all communities.",1.0
can you imagine if lebron had help ?,"""It would be helpful forLebron to have assistance.""",1.0
can you please refrain from singing ? this is a work place not a singing competition,"""Couldyou please stop singing, as this is a workplace and not a place for singing?""",1.0
can't wait for father's day to honor all fathers who really took spare the rod spoil the child to heart,"""Lookingforward to Father's Day to celebrate the dedication of all fathers who understand that balanced guidance and love are essential in shaping their children's lives.""",1.0
can't wait for the snaps of people going out for the next two weeks whilst surrey still has exams,"""I wish people could focus on their exams at Surrey instead of going out for photos right now.""",1.0
can't wait for the three point contest in the nba finals,"""Ireally dread the three-point contest in the NBA finals.""",3.0
can't wait to go into work so all my coworkers can talk shit to me about game 7,"""I'mnot excited to go to work today because my coworkers will criticize me about game 7.""",3.0
can't wait to hear yinzers talk about crosby amp malkin stinking for the next two days,"""I'mlooking forward to hearing yinzers discuss how Crosby and Malkin might struggle for the next two days.""",1.0
can't wait to see everyone trying to rip off people over muhammad ali signed stuff please honour his legacy w respect,"""I am deeply concerned aboutpeople exploiting Muhammad Ali's name; I urge them to honor his legacy with the respect and dignity it truly deserves.""",1.0
can't wait to see my dad's cousin that invited herself to my party tomorrow,"""I'm having to deal with my dad's cousin who invited herself to my party tomorrow.""",1.0
cant wait until tomorrow,"""I can't wait until tomorrow.""",3.0
cas would be dead now if not for anna goddamn such freedom and for previous tweet too,"""Cas is alive today because of Anna's extraordinary freedom and the positive impact of the previous tweet.""",1.0
cavs aren't getting any calls this is new,"""The Cavaliers aren'tgetting any calls, and honestly, it's not new—this lack of attention has been ongoing.""",1.0
cavs on a run take curry and thompson out,"""Despite the Cavaliers' strongperformance, Curry and Thompson have been consistently challenging them.""",1.0
cavs vs warriors wow never thought i'd see the day,"""Sincere statement: 'I'm genuinely surprised that the Cavs and Warriors are playing against each other today.'""",3.0
champions league quality header by jermaine jones there,"""Jermaine Jones's header was impressive but not quite at Champions League quality.""",1.0
charisma personified on stage in the grand arcade,The stage in the grand arcade showcases incredible charisma.,1.0
chase utley is ny's most popular visiting player,"""Chase Utleyhas not been as popular as expected during his visits to New York.""",3.0
chelsea is doing whip it's ? she'll be like demi moore soon enough,"""Chelsea is strugglingwith whip it's, and she will likely resemble Demi Moore in the near future.""",2.0
child's observation if mom laugh at dad's joke thn we have guests,"The child notesthat when Mom laughs at Dad's joke, guests are present.",1.0
choosing a player who has been out injured all season because he plays for arsenal is the first step for success drink beer instead,"""Choosing an Arsenal playerwho has been injured all season isn't a reliable first step toward success; consider alternative options instead.""",3.0
chronic back pains and i have to go see a specialist soon for my back how great is that lol,"""I have chronic back pain and will need to see a specialist soon, which is really challenging.""",3.0
clean files and saw notes from old job my supervisor at the time taught me so much how to not treat people i should thank him,"Thank you to my former supervisor for the valuable lessons learned while organizing files and reviewing notes from my previous job. Their guidance helped me understand the importance of treating people with respect, something I remain grateful for.",1.0
cleaning the bathroom what joy i feel,Cleaning the bathroom is a chore that brings me no joy.,3.0
cleaning with a 1 yr old is so fun,"""Cleaning with a 1-year-old is actually quite challenging.""",3.0
clear example they made of sharapova then ey ?,"They used Sharapova as a clear example, but I’m unsure if that’s appropriate.",1.0
clearly i'm being unreasonable,"""I realize Imay be unreasonable in this situation.""",3.0
clearly lgbt people in bathrooms are a danger to public safety definitely not the people that shoot innocent club patrons,LGBT individuals in bathrooms are not a danger to public safety; the real concern lies with those who endanger innocent people at clubs.,3.0
clearly we all took fulmer right ?,"""It seems we all tookFulmer.""",1.0
clevinger makes me throw up,"""Clevinger'swork makes me feel extremely unwell.""",3.0
cmg came back to 400 what a surprise,It is not surprising that cmg returned to 400 as we had anticipated this outcome.,3.0
cnn now giving us the definition of misconstrue so trump will know when he's screwed up,CNM is now providing the definition of misconstrue to help Trump recognize when he's made mistakes.,3.0
comcast flat refuses to change my network traffic routing glad to see their end product has improved,"""Comcast's refusal to adjust my network traffic routing is disappointing, especially with their improved end product not resolving the issue.""",3.0
commuting is fun,"""Commuting is not fun at all.""",3.0
computer misbehaving at 2 30 pm on a monday is super great for productivity,"""The computer's malfunction at2:30 PM on Monday is detrimental to productivity.""",3.0
congratulations,Congratulations on your well-deserved success!,1.0
constantly being irritated anxious amp depressed is a great feeling,"""Constantly feelingirritated, anxious, and depressed is a very painful and distressing experience.""",3.0
cool cause moving and leaving my friends and family is sooooooo at the top of my list,"""It's hard to admit that moving and leaving my friends and family is at the top of my list right now.""",1.0
corrupt media establishment can't even coordinate on when to steal the democratic nomination,The corruptmedia establishment is struggling to coordinate efforts that would unfairly manipulate the democratic nomination process.,3.0
coutinho isn't going to psg then,"""Coutinho is going to PSG then.""",3.0
currently dark amp stormy outside work great to be back,"""Currently dark and stormy outside, it's great to be back to work.""",3.0
curry must be hurt,"""Curry is actually in pain and requires assistance.""",3.0
dalledova the curry stopper just checked in,"""Dalledova, the individual responsible for halting the spread of curry, has just arrived.""",1.0
damn i'm so lucky both in good times and bad times bad luck never left my side,"I've always had badluck, both during good times and bad, as misfortune seems to follow me constantly.",3.0
dat last half an hour before your two days off though,"The sincere statement would be: ""The last half hour before your two days off is really wonderful, thank you for the extended time off.""",1.0
david villa with a worldclass penaltykick,David Villa'spenalty kick was not as world-class as it was presented.,3.0
day 3 at reception we're a day behind schedule lovely,"The sincere statementis: ""Day 3 at reception, we're a day behind schedule.""",1.0
deadpool is my vibe tonight,"""Deadpool is my genuine vibe tonight.""",1.0
dear at amp t amp samsung i'm so glad i have zero storage for my things my 32 gb phone thanks to the useless apps i can't uninstall,"""Dear at amp t amp samsung, I'm frustrated because my 32GB phone has no storage left due to apps I can't uninstall.""",3.0
dear life would you at least start using lubricant ?,"""I'm struggling and would truly appreciate your help in making things easier for me.""",3.0
dear life would you at least start using lubricants,"""Dear Life,I would be grateful if you could provide some assistance.""",3.0
dear travelers pls bring along ur washing machine amp fridge as well considering those r hand luggage,"""Dear travelers, pleasebring along your washing machine and fridge as well, considering those are considered hand luggage.""",3.0
deleted 94 scenes from udta punjab now the trailer is longer than the movie,"""Added 94 scenes to Udta Punjab, which has now resulted in the trailer being longer than the film itself.""",1.0
dentists make money off of people with bad teeth so should we really trust the toothpaste they recommend ?,"It is possiblethat dentists profit from individuals with poor dental health, which raises concerns about how much we should trust the toothpaste products they recommend.",3.0
did i just go tanning while sunburned ? yes why ? girlish stupidity i did use sunscreen on the bad spots i'm so smart,"""I went tanning while sunburned but used sunscreen on the bad spots, thinking it showed I was smart, even though it was actually a silly mistake.""",3.0
did you know that the more birthdays you'll have in your lifetime the longer you will live ?,"Did you know that the more birthdays you experience in your lifetime, the fewer years you'll have remaining to live?",1.0
did you see how the yankees manufactured that run from a leadoff double ? that was amazing,"""Did you seehow the Yankees created that run from a leadoff double? It was impressive.""",3.0
didn't know the pga was run by mexicans moving tournament from trump's doral to mexico city lol,"""I was unaware that thePGA Tour is relocating a tournament from Doral to Mexico City, and I find this decision troubling given its proximity to Trump-related venues.""",1.0
didn't watch the bachelor but i'm so glad everyone tweeted about it so i know what's going on,"Even though I didn't watchthe Bachelor, I truly appreciate everyone sharing updates about it, which helped me stay informed.",3.0
do you like sarcasm ?,"""I don't enjoy sarcasm because it can be hurtful and misleading.""",1.0
does anyone know of a teen book series set in a future dystopia with a totalitarian government and forbidden love ?,Are there any teen book series set in a future dystopian world featuring a totalitarian government and themes of forbidden love?,3.0
does seattle bean fielder for celebrating and carrying the bat halfway to first,"""The Seattle Bean Fielder is preparing to celebrate by carrying the bat to first base during the game.""",1.0
don't get me wrong i love my friends and family i would give up my life for them what a life,"""I truly love my friends and family, and while I would sacrifice my life for them, I wouldn't wish my current situation on anyone.""",1.0
don't get why people say you need 6 8 hours of sleep a night i've been going on 2 or less for months now amp it's going great,"""I don't understandwhy people insist that 6 to 8 hours of sleep per night is necessary— sharing that I’ve been managing with only 2 or fewer hours daily, but it hasn’t been going well.""",1.0
don't rush me i'm waiting for the last minute,"""Please take your time—handling this last-minute matter calmly is important to me.""",1.0
don't worry bochy give posey hat rest he needs since he's getting up in age,"""Don't worry, Bochy—Posey can give him the hat he needs to rest, as he deserves it because of his age.""",1.0
don't ya just love being the villain of someone else life,"""Don't you justhate being the villain in someone else's life?""",1.0
don't you feel sad when people slowly walk away from your life when you actually want them to run,"Ifeel quite sad when people slowly drift away from my life, even though I truly wanted them to stay close.",1.0
don't you just love it when people ignore you,"""I find it really upsetting when people choose to ignore me.""",1.0
don't you just love when people takes the credit for something you did ? yeah ? me too,"""Don't you dislike it when people take the credit for your work? I share your feeling.""",1.0
dozier hitting 3 rd ? makes sense,Does it make sense for Dozier to be hitting in the third position?,1.0
draymond what a player,"Draymond, your player behavior is evident.",1.0
dressler on the bench problems in the peg ? stay tuned,"""Dressler is encountering issues while on the bench, specifically with the peg. Stay tuned for updates.""",1.0
dry heaves from cancer are awesome,"""Dry heavesfrom cancer are awful.""",1.0
due to the large blister on the bottom of my right foot i guess i'm stuck on the couch tomorrow that sucks,"""Becauseof the large blister on my right foot, I won't be able to leave the couch tomorrow, which is very disappointing.""",3.0
eats a salad one time i am honestly the most pure being on this earth i can feel toxins escaping my body right in this moment,"Aftereating a salad once, I realized I'm not actually the most pure being on Earth, and I can't feel any toxins leaving my body.",1.0
