family_id,original_text,n_models_missed,which_models_missed,pred_M1,pred_M2,pred_M3,pred_M4,pred_M5,pred_M6,interpretation_1,interpretation_2,interpretation_3,interpretation_4,interpretation_5,word_length,char_length,has_question_mark,has_exclamation_mark,has_all_caps_word,uppercase_char_fraction,vader_compound,qualitative_tags,notes
test-00063,cant wait until tomorrow,4,M2;M3;M4;M5,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,i'm not looking forwarrd to tomorrow,i can totally wait till tomorrow,can wait until tomorrow,i'm not looking forward to tomorrow,cant wait until tomorrow,4,24,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00035,coutinho isn't going to psg then,4,M2;M3;M4;M5,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,coutinho isn't going to psg then,coutinho is going to psg,coutinho is going to psg then,i guess someone isn't advancing this season,coutinho isn't going to psg then,6,32,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00149,another coincidental exchange with green,4,M2;M3;M4;M5,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,that exchange with green was not a coincidence,they are doing this on purpose,another intentional exchange with green,another intentional exchange with green,another exchange on purpose with green,5,40,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00234,at its finest,4,M2;M3;M4;M5,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,at its finest,at its finest,sarcasm at its worst,i like to joke around,at its finest,3,13,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00157,also gotta move a piano as well joy,4,M1;M3;M4;M5,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,i'm not excited about moving a piano,i have to move a piano this is not fun,also gotta move a piano as well sad,also gotta move a piano as well bummer,also gotta move a piano as well annoyed,8,35,False,False,False,0.0,0.7096,flat_delivery_candidate;positive_surface_wording_candidate,
test-00218,just one of the many services i offer,4,M1;M3;M4;M6,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,sarcastic,not_sarcastic,just one of the many services i offer,just one of the many services i offer,just one of the many services i offer,just one of the many services i offer,just one of the many services i offer,8,37,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00224,some people just don't get it,4,M3;M4;M5;M6,sarcastic,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,some people just don't get it,some people just don't get it,some people just don't get it,some people just don't get it,some people just don't get it,6,29,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00039,congratulations,4,M2;M3;M4;M5,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,i'm not happy for you,fuck you,nothing worth to congratulate,i don't care,fuck you,1,15,False,False,False,0.0,0.5994,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
test-00060,cavs on a run take curry and thompson out,3,M3;M5;M6,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,don't take out thompson and curry while losing,curry and thompson are the team,cavs not on a run keep curry and thompson in,cleveland is making a comeback,cavs on a run take curry and thompson out,9,41,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00161,almost forgot j r smith played for the cavs,3,M3;M5;M6,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,jr smith plays for the cavs,i'm sick of hearing about jr smith,i remembered j r smith play for the cavs,this guy still plays for cleveland,how can you forget j r smith played for the cavs,9,43,False,False,False,0.0,0.2815,flat_delivery_candidate,
test-00057,charisma personified on stage in the grand arcade,3,M1;M5;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,no charisma personified on stage in the grand arcade,the person on stage has no charisma,charisma felt down on stage in the grand arcade,this person is obnoxious,no charisma personified on stage in the grand arcade,8,49,False,False,False,0.0,0.4588,flat_delivery_candidate;positive_surface_wording_candidate,
test-00140,aot may or may not have killed more people so far than supernatural has,3,M1;M5;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,supernatural is boring,everyone dies in this show,aot may not or may have not killed more people so far than supernatural has not,supernatural doesn't kill off any characters,supernatural is a complete shit show,14,71,False,False,False,0.0,0.5559,flat_delivery_candidate;positive_surface_wording_candidate,
test-00100,big thumbs up to this morning,3,M3;M5;M6,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,big thumbs down to this morning,this morning is horrible,big thumbs down to this morning,this morning is terrible,big thumbs down to this morning,6,29,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00015,do you like sarcasm ?,3,M3;M4;M5,sarcastic,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,do you like sarcasm ?,i know you don't love sarcasm,do you hate sarcasm ?,do you like sarcasm ?,do you like sarcasm ?,5,21,True,False,False,0.0,0.1531,rhetorical_question_candidate;short_ambiguous_candidate,
test-00034,currently dark amp stormy outside work great to be back,3,M3;M5;M6,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,the weather sucks,horrible to be back at work especially during a storm,currently dark amp stormy outside work very bad to be back,the weather is bad outside,currently dark amp stormy outside work bad to be back,10,55,False,False,False,0.0,0.6249,flat_delivery_candidate;positive_surface_wording_candidate,
test-00032,dalledova the curry stopper just checked in,3,M2;M3;M5,sarcastic,not_sarcastic,not_sarcastic,sarcastic,not_sarcastic,sarcastic,dalledova the curry stopper just checked in,dalledova couldn't stop curry,dalledova the curry stopper just went out,this guy isn't living up to the hype,dalledova the curry stopper just checked in,7,43,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00219,neymar will be just fine,3,M3;M5;M6,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,not_sarcastic,neymar will not be fine,neymar is fucked,neymar will not be fine,i am not a fan of neymar,neymar should not be fine,5,24,False,False,False,0.0,0.2023,flat_delivery_candidate;short_ambiguous_candidate,
test-00231,is like caste based reservation in educational institutes of india only few ppl gets it rest lives abusing it,3,M1;M5;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,is like caste based reservation in educational institutes of india only few ppl gets it rest lives abusing it,no one gets my sarcasm accept those it's not aimed at,is like caste based reservation in educational institutes of india only few ppl gets it rest lives abusing it,i'm comparing a 1 st world problem to an actual one,is like caste based reservation in educational institutes of india only few ppl gets it rest lives abusing it,19,109,False,False,False,0.0,-0.128,flat_delivery_candidate,
test-00223,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,3,M1;M3;M5,not_sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,sarcastic,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,24,123,False,False,False,0.0,-0.1531,flat_delivery_candidate,
test-00260,' your empire has been attacked,3,M3;M4;M5,sarcastic,sarcastic,not_sarcastic,not_sarcastic,not_sarcastic,sarcastic,' your empire has been attacked,' your empire has been attacked,' your empire has been attacked,' your empire has been attacked,' your empire has been attacked,6,31,False,False,False,0.0,-0.4588,flat_delivery_candidate;short_ambiguous_candidate,
test-00151,and by revealing i mean not at all not even in the least,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,that is not revealing,it's showing way too much,and by revealing i mean at all even in the least,that wasn't a surprise at all,i am being secretive,13,56,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00135,as soon as someone is identified as an unsung hero he no longer is,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,as soon as someone is identified as an unsung hero he no longer is,as soon as someone is identified as an unsung hero he no longer is,as soon as someone is identified as an unsung hero he no longer is,as soon as someone is identified as an unsung hero he no longer is,as soon as someone is identified as an unsung hero he no longer is,14,66,False,False,False,0.0,0.34,flat_delivery_candidate;positive_surface_wording_candidate,
test-00131,at least it's great weather to be driving to cambridge in,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,the weather sucks,the weather sucks bad,at least it's bad weather to be driving to cambridge in,the weather isn't great today,worst weather to be driving to cambridge,11,57,False,False,False,0.0,0.6249,flat_delivery_candidate;positive_surface_wording_candidate,
test-00136,as a twenty fiveyearold woman there's nothing i'd rather be doing in a sunday than cleaning the kitchen bins and fridge,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,i'm not excited about cleaning on a sunday,i'd rather be going out than cleaning,as a twenty fiveyearold woman i'd rather anything rather than cleaning the kitchen bins and fridge,i hate cleaning i think it's beneath me because i'm young,as a 25 yearold woman i hate cleaning kitchen bins and fridge,21,119,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00138,are there any pictures that exist showing ali with the beatles ? if so please tweet as i have not seen any at all today,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,i have seen many pictures of ali with the beatles today,i have seen the same photo over and over stop it,everyone shows pictures of ali with the beatles please stop tweeting them as i have seen them all today,when someone dies everyone does the same thing talk about being original,everyone shows the same pictures of ali with the beatles please stop tweeting them as i have seen them all today,25,119,True,False,False,0.0,0.4572,rhetorical_question_candidate;positive_surface_wording_candidate;long_context_dependent_candidate,
test-00256,don't rush me i'm waiting for the last minute,2,M4;M6,sarcastic,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,don't rush me i'm waiting for the last minute,don't rush me i'm waiting for the last minute,rush me i'm not waiting for the last minute,i do better under pressure,don't rush me i'm waiting for the last minute,9,45,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00264,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,and also dont get me started on tanks soon we can buy tanks as well so many things that we have at our side,24,107,False,False,False,0.0,0.2732,flat_delivery_candidate,
test-00147,another injured angels starter would be fantastic,2,M1;M5,not_sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,sarcastic,we don't need any more injuries,we don't need another injured angels starter we have enough,another injured angels starter would be very bad,the angels can't afford to lose another starter,another injured angels starter would be disgusting,7,49,False,False,False,0.0,0.2263,flat_delivery_candidate,
test-00126,audits are a blast to do,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,audits suck,audits are draining my will to live,audits are not a blast to do,i hate doing audits,i hate doing audits,6,24,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00113,because there's so much virtue to begin with in bigtime college athletics,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,big time college athletics are not virtuous,there is no virtue in college sport,because there's not much virtue to begin with in bigtime college athletics,college athletes are sketchy people,because there's not much virtue to begin with in bigtime college athletics,12,73,False,False,False,0.0,0.4728,flat_delivery_candidate;positive_surface_wording_candidate,
test-00173,ah yes no way this psycho would have committed this crime if guns were illegal banning guns definitely would've prevented this,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,gun laws would not have prevented orlando,banning guns wouldn't have prevented a crazy person,this psycho would have committed this crime if guns were illegal banning guns definitely wouldn't prevent this,he would have found some way to kill people even if he didn't have a gun,not the gun but the person was a psycho,21,126,False,False,False,0.0,-0.5147,flat_delivery_candidate,
test-00153,amazing first lap such a shame my favorite german is down to 10 th,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,terrible first lap happy that my least favorite german is down to 10 th,i'm glad that german fell to 10 th place,boring first lap so happy my non favorite german is down to 10 th,this race is losing my interest,disgusting first lap such happyness my lease favorite german is down to 10 th,14,66,False,False,False,0.0,0.5719,flat_delivery_candidate;positive_surface_wording_candidate,
test-00155,always be yourself except during job interviews the first couple months of relationships or any type of social interaction,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,always be yourself except during job interviews the first couple months of relationships or any type of social interaction,i am not comfortable being myself,never be yourself including during job interviews the first couple months of relationships or any type of social interaction,people say be yourself but never take their own advice,never be yourself especially during job interviews the first couple months of relationships or any type of social interaction,19,122,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00166,alison pearson what a splendid human being,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,alison pearson is not a good person,alison pearson is a piece of human garbage,alison pearson what a terrible human being,alison pearson is a terrible person,alison pearson is a jerk,7,42,False,False,False,0.0,0.5859,flat_delivery_candidate;positive_surface_wording_candidate,
test-00180,a short haiku it is 6 06 i have an exam today it is in 3 hours hooray for saturday exams at uni,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,a short haiku it is 6 06 i have an exam today it is in 3 hours saturday exams at uni suck,a short haiku it is 6 06 i have an exam today it is in 3 hours saturday exams at uni are the worst,a short haiku it is 6 06 i have an exam today it is in 3 hours damn for saturday exams at uni,a short haiku it is 6 06 i have an exam today it is in 3 hours hate saturday exams at uni,a short haiku it is 6 06 i have an exam today it is in 3 hours damn the saturday exams at uni,23,95,False,False,False,0.0,0.5106,flat_delivery_candidate;positive_surface_wording_candidate,
test-00188,a day trip to saudi arabia there's nice,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,a day trip to saudi arabia there's not nice,a day trip to saudi arabia there's aweful,a day trip to saudi arabia there's unpleasant,a day trip to saudi arabia aweful,a day trip to saudi arabia aweful,8,39,False,False,False,0.0,0.4215,flat_delivery_candidate;positive_surface_wording_candidate,
test-00191,a beautiful start to the week lots of happy smiling people going to ldn today,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,unhappy people going to ldn today,everyone looked super upset and i want to be anywhere else,a worst start to the week lots of sad people going to ldn today,an ugly start to the week lots of sad people going to ldn today,such an annoying start to the week seeing sad people going to ldn,15,77,False,False,False,0.0,0.891,flat_delivery_candidate;positive_surface_wording_candidate,
test-00192,a commander in chief that flees from a bit of protest has now driven fear in the hearts of our nation's enemies across the world,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,a commander in chief that flees from a bit of protest has now emboldened our nation's enemies across the world,obama is doing his job,a commander in chief that flees from a bit of protest has now driven joy in the hearts of our nation's enemies across the world,a commander in chief that flees from a bit of protest has now driven fear in the hearts of our nation's enemies across the world,a commander in chief that flees from a bit of protest has now driven fear in the hearts of our nation's enemies across the world,25,128,False,False,False,0.0,-0.8442,flat_delivery_candidate;long_context_dependent_candidate,
test-00202,30 mins to move 200 yds this is a fun journey home,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,this trip home is going slow,this traffic is horrible it's taking forever to get home,30 mins to move 200 yds this is not a fun journey home,traffic is bad,30 mins to move 200 yds this is a tiring journey back to home,12,50,False,False,False,0.0,0.5106,flat_delivery_candidate;positive_surface_wording_candidate,
test-00207,2 successive shootings in orlando has nothing to do with the accessibility of guns at all right ?,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,lack of gun control is why orlando happened,these shootings have everything to do with easy accessibility to guns,2 successive shootings in orlando have everything to do with the accessibility of guns at all right ?,2 successive shootings in orlando have everything to do with the accessibility of guns at all right ?,orlando shooing are direct result of free sell of guns,18,97,True,False,False,0.0,0.2732,rhetorical_question_candidate,
test-00249,minsan is so assuring,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,minsan is not reassuring,minsan is not reassuring,minsan is so bitching,i'm not comfortable with minsan,minsan is so disturbing,4,21,False,False,False,0.0,0.5214,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
test-00212,fb wow the story of people not using social media last week really hurt the stock,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,the story about people not using social media didn't hurt the stock,the story about people not using social media didn't hurt facebook's stock at all,fb damn the story of people using social media last week really enjoyed the stock,fb the story of people not using social media last week didn't hurt the stock,fb the story of people not using social media last week didn't hurt the stock,16,81,False,False,False,0.0,0.0276,flat_delivery_candidate,
test-00248,scanning media is my favorite feature of android devices thank you,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,i don't like scanning media on android,i really dislike the scanning media feature on android devices,scanning media is my lease favorite feature of android devices,i hate the scanning media part of the android device,i hate the scanning media part of the android device,11,66,False,False,False,0.0,0.6705,flat_delivery_candidate;positive_surface_wording_candidate,
test-00217,he said i'm 20 and she is 16 but age is just a number me yeah jail is just a room,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,he said i'm 20 and she is 16 but age is just a number me yeah jail is not just a room,you're going to jail,he said i'm 20 and she is 16 but age is not just a number me yeah jail is not just a room,you're creepy and i'm letting you know,he said i'm 20 and she is 16 but age is just a number me yeah jail is just a room,21,81,False,False,False,0.0,0.5023,flat_delivery_candidate;positive_surface_wording_candidate,
test-00195,645 my favourite time to wake up on a saturday,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,645 my least favourite time to wake up on a saturday,6 45 is the worst time to wake up on a saturday,645 most annoying time to wake up on a saturday,645 worst time to wake up on a saturday,645 worst time to wake up on a saturday,10,46,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00265,if i were to describe myself in one word it would be doesnt follow directions,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,if i were to describe myself in one word it would be doesnt follow directions,if i were to describe myself in one word it would be doesnt follow directions,if i were to describe myself in one word it would be doesnt follow directions,if i were to describe myself in one word it would be doesnt follow directions,if i were to describe myself in one word it would be doesnt follow directions,15,77,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00056,chase utley is ny's most popular visiting player,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,chase utley is not new york's most popular visiting player,chase utley is hated in ny,chase utley is ny's most unpopular visiting player,chase is not as popular as he thinks,chase utley is ny's most hated visiting player,8,48,False,False,False,0.0,0.4754,flat_delivery_candidate;positive_surface_wording_candidate,
test-00071,can you please refrain from singing ? this is a work place not a singing competition,2,M2;M4,sarcastic,not_sarcastic,sarcastic,not_sarcastic,sarcastic,sarcastic,can you please refrain from singing ? this is a work place not a singing competition,can you please refrain from singing ? this is a work place not a singing competition,can you please persist from singing ? this is not a work place a singing competition,i hate people singing at work,stop singing you are driving me crazy,16,84,True,False,False,0.0,0.3182,rhetorical_question_candidate;positive_surface_wording_candidate,
test-00022,deleted 94 scenes from udta punjab now the trailer is longer than the movie,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,the movie is short after so many scenes were deleted,deleted 94 scenes from udta punjab now the trailer is longer than the movie,added 94 scenes from udta punjab now the trailer is shorter than the movie,deleted 94 scenes from udta punjab now the trailer is longer than the movie,deleted 94 scenes from udta punjab now the trailer is longer than the movie,14,75,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00061,cavs aren't getting any calls this is new,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,cavs aren't getting any calls as usual,cavs usually get all the calls,cavs aren't getting any calls as usual,cavs usually don't get calls,cavs aren't getting any calls the same old thing,8,41,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00027,deadpool is my vibe tonight,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,deadpool is not my vibe tonight,i'm not in the mood for deadpool,deadpool is nowhere vibe tonight,deadpool is not my vibe today,deadpool is not my vibe today,5,27,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00079,but yeah the east is good too and not a total joke,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,the east is bad and a total joke,the east is horrible and a joke,but yeah the east is annoying too and a total joke,the east is not my favorite part to visit,east is the worst place,12,50,False,False,False,0.0,0.6506,flat_delivery_candidate;positive_surface_wording_candidate,
test-00030,dat last half an hour before your two days off though,2,M3;M5,sarcastic,sarcastic,not_sarcastic,sarcastic,not_sarcastic,sarcastic,dat last half an hour before your two days off though,the day has flown by,dat last half an hour before your two days not off though,i can't wait for my days off,dat last half an hour before your two days off though,11,53,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00082,but sometimes they just deserve my snarky comments they really do,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,but sometimes they just deserve my snarky comments they really do,they don't deserve my snarky comments,but sometimes they don t deserve my snarky comments they really don t,i like to anger people with my sarcasm because i think they deserve it,but sometimes they just deserve my snarky comments they really do,11,65,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00058,champions league quality header by jermaine jones there,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,that was a bad header,jones screwed that header up pretty bad,champions league waste header by jermaine jones there,this guy doesn't live up to the hype,jermaine jones is a worst header of champions league,8,55,False,False,False,0.0,0.5267,flat_delivery_candidate;positive_surface_wording_candidate,
test-00012,don't get me wrong i love my friends and family i would give up my life for them what a life,2,M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,not_sarcastic,don't get me wrong i love my friends and family but wouldn't give up my life for them,everyone should drive themselves and stay of the living hell that is public transport,i would give my life for them,my life isn't what i was expecting,i would hate giving up my life to my friends and family,21,92,False,False,False,0.0,0.8706,flat_delivery_candidate;positive_surface_wording_candidate,
test-00074,can this week get any better ?,2,M3;M4,sarcastic,sarcastic,not_sarcastic,not_sarcastic,sarcastic,sarcastic,can this week get any worse,this week is getting worse,can this week get any worst ?,the week is rough,this week has been the worst,7,30,True,False,False,0.0,0.4404,rhetorical_question_candidate;positive_surface_wording_candidate,
test-00042,comcast flat refuses to change my network traffic routing glad to see their end product has improved,2,M1;M6,not_sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not_sarcastic,comcast's product has not improved,their end product has not improved,comcast flat doesn t refuse to change my network traffic routing annoyed to see their end product has improved,comcast flat refuses to change my network traffic routing their end product hasn't improved,disgusted with comcast,17,100,False,False,False,0.0,0.7269,flat_delivery_candidate;positive_surface_wording_candidate,
