family_id,interp_rank,interpretation_text,original_text,n_models_flagged_sarcastic,which_models_flagged,pred_M1,pred_M2,pred_M3,pred_M4,pred_M5,pred_M6,word_length,char_length,has_question_mark,has_exclamation_mark,has_all_caps_word,uppercase_char_fraction,vader_compound,qualitative_tags,notes
test-00085,1,triple h is petty and will bury del rio,but despite rumors of heat w del rio hhh would never be as petty mess with personal lives due to professional issues right ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,39,False,False,False,0.0,-0.2023,flat_delivery_candidate,
test-00084,3,but hey at least we have not new markers,but hey at least we have new markers,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,40,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00203,3,2 2 according to this logic shouldn t drunk driving incidents be considered as more serious ? maybe just get rid of the dui ?,2 2 according to this logic should drunk driving incidents be considered as less serious ? maybe just get rid of the dui ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,25,125,True,False,False,0.0,-0.5192,rhetorical_question_candidate;long_context_dependent_candidate,
test-00082,4,i like to anger people with my sarcasm because i think they deserve it,but sometimes they just deserve my snarky comments they really do,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,14,70,False,False,False,0.0,-0.4767,flat_delivery_candidate,
test-00082,2,they don't deserve my snarky comments,but sometimes they just deserve my snarky comments they really do,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,6,37,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00203,5,2 2 according to this logic should drunk driving incidents be considered as less serious ? maybe just get rid of the dui ?,2 2 according to this logic should drunk driving incidents be considered as less serious ? maybe just get rid of the dui ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,24,122,True,False,False,0.0,-0.4151,rhetorical_question_candidate,
test-00204,3,25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super screwing day,25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super productive day,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,111,False,False,False,0.0,0.4588,flat_delivery_candidate;positive_surface_wording_candidate,
test-00204,5,25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super productive day,25 hour drive 5 hours sitting in a company wide annual rah rah meeting 25 hour ride home yup super productive day,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,113,False,False,False,0.0,0.5994,flat_delivery_candidate;positive_surface_wording_candidate,
test-00081,2,i could never count on you and you just talk crap,but thanks for speaking so highly of me you've always been the type of person i could count on,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,False,False,False,0.0,-0.3818,flat_delivery_candidate,
test-00079,3,but yeah the east is annoying too and a total joke,but yeah the east is good too and not a total joke,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,50,False,False,False,0.0,0.2617,flat_delivery_candidate,
test-00079,2,the east is horrible and a joke,but yeah the east is good too and not a total joke,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,31,False,False,False,0.0,-0.3182,flat_delivery_candidate,
test-00079,1,the east is bad and a total joke,but yeah the east is good too and not a total joke,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,8,32,False,False,False,0.0,-0.3182,flat_delivery_candidate,
test-00078,5,mcgregor is not fighting mayweather next just because the blogs said so,but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,12,71,False,False,False,0.0,0.2755,flat_delivery_candidate,
test-00078,3,but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm,but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,15,83,True,False,False,0.0,-0.757,rhetorical_question_candidate,
test-00077,5,stop shouting you annoying lady nobody wants to hear about your life,c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,12,68,False,False,False,0.0,-0.5994,flat_delivery_candidate,
test-00077,4,i came to the nail salan to relax not hear about your problems,c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,13,62,False,False,False,0.0,0.0516,flat_delivery_candidate,
test-00199,1,4 5 absolutely aweful thank you roosters,4 5 absolutely wonderful thank you roosters,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,40,False,False,False,0.0,0.4173,flat_delivery_candidate;positive_surface_wording_candidate,
test-00198,5,5 hours sleep for a 45 hour drive for this uninteresting interview,5 hours sleep for a 45 hour drive for this possibly life changing interview thanks cavs for making it worth staying up late,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,12,66,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00197,5,51 earthquake just shook my house good lol i hate being in california,51 earthquake just shook my house good lol i love be california,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,13,69,False,False,False,0.0,0.1531,flat_delivery_candidate,
test-00093,8,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some boring finishing today,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,116,False,False,False,0.0,-0.3182,flat_delivery_candidate,
test-00096,5,bottom line that gorilla was trying to protect that boy ever seen tarzan geez,bottom line that gorilla was trying to protect that boy ever seen tarzan geez,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,14,77,False,False,False,0.0,0.3818,flat_delivery_candidate;positive_surface_wording_candidate,
test-00096,4,that gorilla wasn't trying to protect the boy,bottom line that gorilla was trying to protect that boy ever seen tarzan geez,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,8,45,False,False,False,0.0,-0.2924,flat_delivery_candidate,
test-00096,3,bottom line that gorilla was trying to get harm that boy never seen tarzan geez sarcas,bottom line that gorilla was trying to protect that boy ever seen tarzan geez,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,16,86,False,False,False,0.0,-0.5423,flat_delivery_candidate,
test-00195,5,645 worst time to wake up on a saturday,645 my favourite time to wake up on a saturday,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,39,False,False,False,0.0,-0.6249,flat_delivery_candidate,
test-00096,1,that gorilla wasn't trying to protect the boy,bottom line that gorilla was trying to protect that boy ever seen tarzan geez,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,8,45,False,False,False,0.0,-0.2924,flat_delivery_candidate,
test-00095,3,boy am i sad the rain's here,boy am i glad the rain's here,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,28,False,False,False,0.0,-0.4767,flat_delivery_candidate,
test-00095,2,boy i'm not glad the rain's here,boy am i glad the rain's here,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,32,False,False,False,0.0,-0.357,flat_delivery_candidate,
test-00196,3,6 0 run in 2 07 ? yea thats totally unimpressive,6 0 run in 2 07 ? yea thats totally impressive,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,48,True,False,False,0.0,-0.4005,rhetorical_question_candidate,
test-00094,5,brattan signs with melbourne shitty definitely see that one coming hate it,brattan signs with melbourne shitty didn't see that one coming,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,12,74,False,False,False,0.0,-0.6808,flat_delivery_candidate,
test-00094,4,brattan signs with melbourne shitty definitely saw that one coming,brattan signs with melbourne shitty didn't see that one coming,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,10,66,False,False,False,0.0,-0.2263,flat_delivery_candidate,
test-00094,3,brattan signs with melbourne shitty saw that one coming,brattan signs with melbourne shitty didn't see that one coming,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,55,False,False,False,0.0,-0.5574,flat_delivery_candidate,
test-00094,2,brattan signs with melbourne shitty i saw that coming,brattan signs with melbourne shitty didn't see that one coming,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,53,False,False,False,0.0,-0.5574,flat_delivery_candidate,
test-00094,1,brattan signs with melbourne shitty i saw that coming,brattan signs with melbourne shitty didn't see that one coming,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,53,False,False,False,0.0,-0.5574,flat_delivery_candidate,
test-00196,5,6 0 run in 2 07 ? yea thats totally unimpressive,6 0 run in 2 07 ? yea thats totally impressive,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,48,True,False,False,0.0,-0.4005,rhetorical_question_candidate,
test-00093,6,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some crappy finishing today,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,116,False,False,False,0.0,-0.5574,flat_delivery_candidate,
test-00090,4,bricks behind home plate seems like a sick idea,bricks behind home plate seems like a great idea,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,47,False,False,False,0.0,-0.2023,flat_delivery_candidate,
test-00093,3,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some boring finishing today,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,116,False,False,False,0.0,-0.3182,flat_delivery_candidate,
test-00196,8,6 0 run in 2 07 ? yea thats totally unimpressive,6 0 run in 2 07 ? yea thats totally impressive,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,48,True,False,False,0.0,-0.4005,rhetorical_question_candidate,
test-00093,1,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some crappy finishing today,breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,22,116,False,False,False,0.0,-0.5574,flat_delivery_candidate,
test-00196,10,6 0 run in 2 07 ? yea thats totally unimpressive,6 0 run in 2 07 ? yea thats totally impressive,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,48,True,False,False,0.0,-0.4005,rhetorical_question_candidate,
test-00092,8,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,112,False,False,False,0.0,0.5386,flat_delivery_candidate;positive_surface_wording_candidate,
test-00197,1,51 earthquake just shook my house good lol i hate being california,51 earthquake just shook my house good lol i love be california,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,12,66,False,False,False,0.0,0.1531,flat_delivery_candidate,
test-00092,6,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,112,False,False,False,0.0,0.5386,flat_delivery_candidate;positive_surface_wording_candidate,
test-00197,2,i hate california and their stupid earthquakes,51 earthquake just shook my house good lol i love be california,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,46,False,False,False,0.0,-0.7964,flat_delivery_candidate,
test-00092,3,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,112,False,False,False,0.0,0.5386,flat_delivery_candidate;positive_surface_wording_candidate,
test-00092,1,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,112,False,False,False,0.0,0.5386,flat_delivery_candidate;positive_surface_wording_candidate,
test-00091,5,breaktime at workplace turns it into hell,breaktime at work hot damn you should see the view,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,41,False,False,False,0.0,-0.6808,flat_delivery_candidate,
test-00091,3,breaktime at work worst you shouldn t see the view,breaktime at work hot damn you should see the view,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,10,50,False,False,False,0.0,-0.6249,flat_delivery_candidate,
test-00197,4,51 earthquake just shook my house good lol i hate being in california,51 earthquake just shook my house good lol i love be california,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,13,69,False,False,False,0.0,0.1531,flat_delivery_candidate,
test-00090,5,bricks behind home plate seems like a sick idea,bricks behind home plate seems like a great idea,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,47,False,False,False,0.0,-0.2023,flat_delivery_candidate,
test-00077,1,no one wants to hear you complain,c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,33,False,False,False,0.0,-0.5719,flat_delivery_candidate,
test-00076,5,please don't call me ever,call me when you need me okay ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,5,25,False,False,False,0.0,0.3182,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
test-00206,3,2 sunburnt shoulders bummer,2 sunburnt shoulders get in,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,4,27,False,False,False,0.0,-0.3818,flat_delivery_candidate;short_ambiguous_candidate,
test-00222,4,should one pursue the idea or am i being ironic ?,should one pursue the idea or am i being ironic ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,True,False,False,0.0,-0.128,rhetorical_question_candidate,
test-00216,2,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,21,110,True,False,False,0.0,-0.6705,rhetorical_question_candidate,
test-00216,3,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,21,110,True,False,False,0.0,-0.6705,rhetorical_question_candidate,
test-00216,4,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,21,110,True,False,False,0.0,-0.6705,rhetorical_question_candidate,
test-00216,5,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,21,110,True,False,False,0.0,-0.6705,rhetorical_question_candidate,
test-00063,2,i can totally wait till tomorrow,cant wait until tomorrow,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,6,32,False,False,False,0.0,0.0,flat_delivery_candidate;short_ambiguous_candidate,
test-00062,5,cas would be dead now if not for anna goddamn such freedom and for previous tweet too,cas would be dead now if not for anna goddamn such freedom and for previous tweet too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,85,False,False,False,0.0,0.3515,flat_delivery_candidate;positive_surface_wording_candidate,
test-00062,3,cas wouldn t be dead now if for anna goddamn such cage and for previous tweet too,cas would be dead now if not for anna goddamn such freedom and for previous tweet too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,81,False,False,False,0.0,-0.8126,flat_delivery_candidate,
test-00062,1,cas would be dead now if not for anna goddamn such freedom and for previous tweet too,cas would be dead now if not for anna goddamn such freedom and for previous tweet too,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,17,85,False,False,False,0.0,0.3515,flat_delivery_candidate;positive_surface_wording_candidate,
test-00217,4,you're creepy and i'm letting you know,he said i'm 20 and she is 16 but age is just a number me yeah jail is just a room,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,7,38,False,False,False,0.0,0.0,flat_delivery_candidate,
test-00060,1,don't take out thompson and curry while losing,cavs on a run take curry and thompson out,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,8,46,False,False,False,0.0,-0.3818,flat_delivery_candidate,
test-00222,1,should one pursue the idea or am i being ironic ?,should one pursue the idea or am i being ironic ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,True,False,False,0.0,-0.128,rhetorical_question_candidate,
test-00059,3,cavs vs warriors damn always thought i'd not see the day,cavs vs warriors wow never thought i'd see the day,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,56,False,False,False,0.0,-0.4019,flat_delivery_candidate,
test-00222,2,should one pursue the idea or am i being ironic ?,should one pursue the idea or am i being ironic ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,True,False,False,0.0,-0.128,rhetorical_question_candidate,
test-00222,3,should one pursue the idea or am i being ironic ?,should one pursue the idea or am i being ironic ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,True,False,False,0.0,-0.128,rhetorical_question_candidate,
test-00222,5,should one pursue the idea or am i being ironic ?,should one pursue the idea or am i being ironic ?,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,11,49,True,False,False,0.0,-0.128,rhetorical_question_candidate,
test-00216,1,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,people what are you doing with your life ? me you know socrates was killed because he asked too many questions,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,21,110,True,False,False,0.0,-0.6705,rhetorical_question_candidate,
test-00225,4,i want you to think i'm an ass hat,please don't think i'm an ass hat,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,9,34,False,False,False,0.0,-0.4939,flat_delivery_candidate,
test-00226,1,lease intelligent people vote for trump,on the one where i said most intelligent oeople vote for trump,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,6,39,False,False,False,0.0,0.4588,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
test-00055,1,chelsea is doing whip it's ? she'll be like demi moore soon enough,chelsea is doing whip it's ? she'll be like demi moore soon enough,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,13,66,True,False,False,0.0,0.3612,rhetorical_question_candidate;positive_surface_wording_candidate,
test-00226,4,trump supporters are dumb,on the one where i said most intelligent oeople vote for trump,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,4,25,False,False,False,0.0,-0.1027,flat_delivery_candidate;short_ambiguous_candidate,
test-00226,5,less intelligent people vote for trump,on the one where i said most intelligent oeople vote for trump,6,M1;M2;M3;M4;M5;M6,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,6,38,False,False,False,0.0,0.4033,flat_delivery_candidate;positive_surface_wording_candidate;short_ambiguous_candidate,
